table,producing_script,source,cadence,validation_target
panel_seguro_transicion_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_seguro_transicion_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_validation_poverty,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
participacion_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
participacion_organizaciones_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
pea_sexo_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 05 (empleo e ingreso),annual,informalidad vs serie oficial
penalidad_maternidad_tiempo,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 05 (empleo e ingreso),annual,informalidad vs serie oficial
poblacion_indigena_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),"ENAHO multi-modulo (01-05, 34)",annual,
salud_cronica_discapacidad_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 01 y 04,annual,bitacora validacion.md (agua/luz/celular vs INEI)
scatter_edu_pobreza_dep_2025,pipeline-archive (ARCHIVE_MAP.csv),"ENAHO multi-modulo (01-05, 34)",annual,
seguro_salud_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 01 y 04,annual,bitacora validacion.md (agua/luz/celular vs INEI)
sintesis_departamento_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 01 y 04,annual,bitacora validacion.md (agua/luz/celular vs INEI)
sis_expansion,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 01 y 04,annual,bitacora validacion.md (agua/luz/celular vs INEI)
social_coverage_by_decile_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 37 (trampa p710),annual,cobertura Juntos/Pension65 vs INEI
subempleo_horas_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 05 (empleo e ingreso),annual,informalidad vs serie oficial
