hhid,trust_share,trust_mean,income_pc,factor07,ubigeo
01500901211,0.47619047619047616,2.380952380952381,3233.285407389434,87.28569030761719,010101
01500902511,0.047619047619047616,2.0952380952380953,683.1606465759904,87.28569030761719,010101
01500904911,0.2857142857142857,2.0476190476190474,1623.5006128989974,87.28569030761719,010101
01500906111,0.2857142857142857,2.142857142857143,3360.9707614823856,87.28569030761719,010101
01500913011,0.0,1.2777777777777777,4726.717198960539,87.28569030761719,010101
01502402611,0.2,2.066666666666667,1122.1556729519937,288.22576904296875,010101
01502403911,0.15384615384615385,1.6923076923076923,684.8202903927684,288.22576904296875,010101
01502900311,0.5,2.2,1027.6034899016147,288.22576904296875,010110
01504000911,0.0,1.3,4251.330985592515,159.20401000976562,010307
01504005611,0.6666666666666666,2.3333333333333335,3829.353604522637,159.20401000976562,010307
01504009911,0.5238095238095238,2.5238095238095237,701.7524154301155,159.20401000976562,010307
01504012111,0.0,1.2727272727272727,2386.7367226758574,159.20401000976562,010307
01505200311,0.2,1.7,2394.8978809345986,304.6443786621094,010701
01505202411,0.09523809523809523,1.7142857142857142,1484.7708276557307,304.6443786621094,010701
01505204211,0.3157894736842105,2.1052631578947367,587.1612801993213,304.6443786621094,010701
01508000911,0.047619047619047616,1.7142857142857142,947.3864702627258,88.37109375,010101
01508001211,0.125,1.4375,1188.9421110085966,88.37109375,010101
01508006411,0.3333333333333333,2.066666666666667,977.3832830429684,88.37109375,010101
01508006611,0.3333333333333333,1.9523809523809523,495.2350547021955,88.37109375,010101
01508407211,0.047619047619047616,1.2380952380952381,474.9805384896785,88.37109375,010504
01508416711,0.0,2.0,589.0684782959394,88.37109375,010504
01508416911,0.3333333333333333,2.5714285714285716,600.6456591693361,88.37109375,010504
01508417011,0.0,1.9166666666666667,1487.954250469593,88.37109375,010504
01509502411,0.09523809523809523,1.7142857142857142,2440.853698189467,88.37109375,010501
01509504911,0.23809523809523808,2.142857142857143,8091.008479880013,88.37109375,010501
01509512311,0.6190476190476191,2.619047619047619,192.39189960893512,88.37109375,010501
01510301011,0.7777777777777778,2.6666666666666665,354.03568446418444,88.37109375,010109
01510301211,0.05263157894736842,1.5789473684210527,485.5802606410412,88.37109375,010109
01510302011,0.058823529411764705,1.1764705882352942,429.4901808537062,88.37109375,010109
01510706911,0.13333333333333333,1.5333333333333334,1205.8604973802344,72.7147216796875,010205
01510707111,0.25,2.15,1799.2812591109684,72.7147216796875,010205
01510715211,0.0,1.1428571428571428,622.5486254076185,72.7147216796875,010205
01510715311,0.15,1.7,727.7481913019207,72.7147216796875,010205
01510715411,0.19047619047619047,1.7142857142857142,645.9589444369699,72.7147216796875,010205
01510715511,0.0,1.8571428571428572,1504.2206321236688,72.7147216796875,010205
01510715611,0.18181818181818182,2.090909090909091,283.86390699046433,72.7147216796875,010205
01513918211,0.0,1.7142857142857142,1250.9453695635152,72.7147216796875,010401
01513918311,0.09523809523809523,1.9047619047619047,1013.6484792514287,72.7147216796875,010401
01513918411,0.0625,1.9375,1437.9800828950333,72.7147216796875,010401
01513938611,0.0,1.1875,547.8850343740979,72.7147216796875,010401
01514903111,0.0625,1.875,875.345390173662,79.45623016357422,010612
01514911011,0.07692307692307693,1.7692307692307692,719.202140024229,79.45623016357422,010612
01514911111,0.05263157894736842,1.4210526315789473,244.86693331432403,79.45623016357422,010612
01514911411,0.3076923076923077,2.5384615384615383,922.3962127983086,79.45623016357422,010612
01514911511,0.23529411764705882,2.235294117647059,909.3800914630817,79.45623016357422,010612
01516008311,0.3333333333333333,2.0833333333333335,193.5739395612342,72.7147216796875,010205
01516008411,0.42857142857142855,2.2142857142857144,226.21430830175328,72.7147216796875,010205
01519101011,0.047619047619047616,1.5238095238095237,3101.5922055645906,429.1026611328125,021809
01519105111,0.0,1.2857142857142858,1462.9168953868982,429.1026611328125,021809
01519109411,0.0,1.0476190476190477,1708.7536479026505,429.1026611328125,021809
01519111911,0.047619047619047616,1.2380952380952381,1156.57370539497,429.1026611328125,021809
01520201211,0.09523809523809523,1.7619047619047619,1649.4472513653975,7.647896766662598,021801
01520202911,0.05,1.5,2074.424052567546,7.647896766662598,021801
01520213911,0.05,1.5,1094.036921686736,7.647896766662598,021801
01521900211,0.3333333333333333,2.6666666666666665,495.55653247476744,338.5641784667969,021809
01521904511,0.047619047619047616,1.4285714285714286,1258.2125756982966,338.5641784667969,021809
01521906411,0.0,1.4285714285714286,1134.5969948165414,338.5641784667969,021809
01521908311,0.0,1.2380952380952381,1175.5293961068542,338.5641784667969,021809
01521911111,0.0,1.3333333333333333,478.07480171292525,338.5641784667969,021809
01521912511,0.0,1.6666666666666667,1188.1498261508018,338.5641784667969,021809
01522100911,0.0,1.1904761904761905,2097.3277118614224,429.1026611328125,021801
01522107011,0.0,1.4285714285714286,662.2707508953281,429.1026611328125,021801
01523801211,0.3333333333333333,2.3333333333333335,613.5367516111402,338.5641784667969,021809
01523805911,0.0,1.3333333333333333,1648.431957852379,338.5641784667969,021809
01524502211,0.047619047619047616,1.2857142857142858,4271.570124129114,338.5641784667969,021101
01524503011,0.0,1.4761904761904763,4526.271369111448,338.5641784667969,021101
01524504511,0.0,1.3333333333333333,746.0148513170886,338.5641784667969,021101
01527900911,0.0625,1.875,694.8957629121106,223.21524047851562,021105
01527902111,0.3333333333333333,1.9047619047619047,475.71959385353296,223.21524047851562,021105
01527903311,0.047619047619047616,1.5714285714285714,1858.963427987529,223.21524047851562,021105
01527904411,0.0,1.1904761904761905,1200.3818544873272,223.21524047851562,021105
01527906411,0.14285714285714285,2.142857142857143,660.8026338197898,223.21524047851562,021105
01528109611,0.0,1.619047619047619,4841.156105041477,198.25868225097656,020105
01529101011,0.047619047619047616,1.4285714285714286,595.5088258566673,541.641357421875,020105
01529107611,0.15789473684210525,1.5263157894736843,477.2558579497227,541.641357421875,020105
01530401811,0.25,1.75,1530.3511892547292,541.641357421875,022001
01530406411,0.3125,2.4375,591.0463627893225,541.641357421875,022001
01530408111,0.6666666666666666,2.933333333333333,1662.7707566601619,541.641357421875,022001
01532304011,0.14285714285714285,2.0952380952380953,2240.164083285604,223.21524047851562,020702
01532304911,0.0,1.3333333333333333,597.0673319154844,223.21524047851562,020702
01532308611,1.0,4.0,470.92251101974824,223.21524047851562,020702
01532309511,0.047619047619047616,1.0952380952380953,868.6058632156127,223.21524047851562,020702
01532701711,0.2,1.8666666666666667,611.008994790607,223.21524047851562,020111
01532701811,0.09523809523809523,1.5238095238095237,824.0640510195567,223.21524047851562,020111
01532701911,0.14285714285714285,1.8571428571428572,636.7065161455942,223.21524047851562,020111
01532707211,0.6666666666666666,3.1666666666666665,1162.7498038012734,223.21524047851562,020111
01532707411,0.047619047619047616,1.2857142857142858,621.3612568966116,223.21524047851562,020111
01534201011,0.14285714285714285,2.2857142857142856,585.328109246279,223.21524047851562,021307
01534208711,0.2,2.4,1283.7212847674841,223.21524047851562,021307
01534208811,0.07142857142857142,2.0714285714285716,520.1309139152877,223.21524047851562,021307
01534208911,0.0,2.0,147.05253362537127,223.21524047851562,021307
