code,fw
Maiz,1283.734533232212
Papa,1195.345122019291
Haba,682.7743552742004
Platano O Guineo,545.2997028971911
Alfalfa,424.43484845161436
Cebada Grano,414.68829188990594
Frijol,405.86425401949884
Yuca,403.4139856131077
Arveja (Alverjon),372.35559958839417
Trigo,370.65777943682673
