from,to,gana_sis,pierde_sis
2017,2018,10.016822649272147,12.005311013694673
2018,2019,11.751818686526013,11.262922419269449
2019,2020,12.94155002546174,10.160888930270922
2020,2021,15.482332939721418,10.557505376200886
