from,to,informalizacion,formalizacion
2014,2015,20.445022635519756,9.627041833484002
2015,2016,20.349445575433148,11.39212838989706
2016,2017,17.666250318453564,9.290820403588908
2017,2018,19.490163646441832,8.17504095269125
