from,to,entry_rate,exit_rate
2019,2020,19.43200896562596,39.78411956561866
2020,2021,12.85887594411313,49.81925512210991
2021,2022,12.06476197089633,40.9561369380992
2022,2023,11.784926686519997,39.22680747329271
