grupo,ratio,share_fem,n_m,n_h
Primaria o menos,0.7502439704447232,41.058801692880344,1307,1728
Secundaria,0.7834218146718147,34.58213104678602,3553,6672
Superior tecnica,0.8087293388429752,44.539746106862346,2485,2666
Universitaria+,0.848776139403732,48.85090657902752,3366,3357
