decil,Juntos,Pensión 65,Qali Warma (desayuno escolar),Vaso de Leche,Comedor popular,Bono Gas (FISE)
1,28.97734109415979,16.67785788831146,38.97058962262624,20.197189621155072,4.615495047236123,28.431107148767744
2,20.88210982823147,18.01293570744243,34.65591158668206,17.364959143538734,4.73249093026919,25.947483999193576
3,17.08077048271565,15.043802023610217,32.40544807117771,14.748022879143525,4.4932904138618905,21.936423075414307
4,14.632325226970355,12.756634128424354,28.282932846887142,14.084333048428855,3.8044389715355904,19.5856501511587
5,11.382609728496966,11.690763488427185,23.33389011511986,9.128006229501311,3.5441961456176596,16.473945192217265
6,8.47333577288197,9.098751837006139,21.197557817052047,9.094619630989147,4.204406966582758,14.188232338169666
7,6.684196463231484,7.986493737647482,18.32682475492424,8.21172216075199,3.01785377212014,12.102263434323678
8,4.7920476174681275,5.33678232425668,12.552672396532532,4.030690755015137,2.883206816109933,10.303804928566459
9,3.372596598151562,3.637061372393623,9.09929861715171,2.338410782212494,1.5895371877950106,7.482672406594297
10,0.7216910359380575,1.9190820881521304,3.533980449538907,0.7333455072392356,1.3668816305591338,3.534378020101777
