from,to,entry_rate,exit_rate
2011,2012,10.82358116502388,33.27016689125582
2012,2013,6.359529464635698,40.266998024525755
2013,2014,8.010160292688155,34.18603710480282
2014,2015,7.779640458356332,37.06772117196307
