dpto,department,trust_pol,trust_all,income_pc,keiko,juntos,keiko_pct,juntos_pct,winner
1,AMAZONAS,7.938566900680046,22.82354250354116,1121.4648416682953,69159.0,125440.0,35.53923709782681,64.46076290217319,Juntos x Peru (izq)
2,ANCASH,4.892511754575107,14.11394136411292,1202.7849310293425,267472.0,348824.0,43.399924711502265,56.600075288497735,Juntos x Peru (izq)
3,APURIMAC,5.542851433099482,17.310233339305338,1075.5258863920617,43132.0,185825.0,18.83847185279332,81.16152814720668,Juntos x Peru (izq)
4,AREQUIPA,5.665736886200412,15.72360793197644,1697.2492064577987,332286.0,580426.0,36.40644584491055,63.59355415508945,Juntos x Peru (izq)
5,AYACUCHO,4.537341787728997,15.577495095411823,1000.4374002702921,66849.0,256362.0,20.682773791733574,79.31722620826642,Juntos x Peru (izq)
6,CAJAMARCA,7.824705204976791,18.52509923543666,940.5029274885961,244749.0,491700.0,33.23366587503004,66.76633412496996,Juntos x Peru (izq)
7,CALLAO,7.206272588475632,15.86813028174883,1207.3955577196236,164717.0,588619.0,21.86501109730585,78.13498890269415,Juntos x Peru (izq)
8,CUSCO,6.907439787298449,16.5555642889564,1087.0195166250166,36707.0,160659.0,18.598441474215416,81.40155852578458,Juntos x Peru (izq)
9,HUANCAVELICA,3.1580184461922483,15.241036235094668,822.3646420291395,139754.0,249970.0,35.85973663413082,64.14026336586917,Juntos x Peru (izq)
10,HUANUCO,5.4816169559613765,13.536254363295145,913.1712220803872,280566.0,259849.0,51.91676766929119,48.08323233070881,Keiko (der)
11,ICA,5.063821088806096,15.471755396466067,1477.1928258352266,321850.0,392405.0,45.060937620317674,54.939062379682326,Juntos x Peru (izq)
12,JUNIN,6.163107469392281,15.942238054838647,1284.0902620700106,600510.0,443238.0,57.53400246036399,42.46599753963601,Keiko (der)
13,LA LIBERTAD,5.5399904459096945,15.335177486648375,1300.2022520280004,435721.0,304695.0,58.848134021955225,41.151865978044775,Keiko (der)
14,LAMBAYEQUE,8.043432947018855,20.955573344324804,1205.0865751087247,3949954.0,2269736.0,63.50724875355524,36.49275124644476,Keiko (der)
15,LIMA,6.054366834682056,14.805229214993302,1435.5219201435132,211382.0,187754.0,52.959893369678504,47.040106630321496,Keiko (der)
16,LORETO,11.259118789706958,20.844607354857065,913.0533235422117,29115.0,65432.0,30.794208171597194,69.20579182840281,Juntos x Peru (izq)
17,MADRE DE DIOS,4.521534091284423,10.812638424254803,1292.1536801349448,33353.0,88235.0,27.43116096983255,72.56883903016745,Juntos x Peru (izq)
18,MOQUEGUA,7.171895960623657,16.28339900175395,1839.1918148727004,50606.0,78478.0,39.20392922438102,60.79607077561898,Juntos x Peru (izq)
19,PASCO,4.615475736571186,11.235383251464206,991.2792139473651,583221.0,440425.0,56.974872172606545,43.025127827393455,Keiko (der)
20,PIURA,9.948683004852512,22.646146230997942,1129.6094876987993,95674.0,608930.0,13.578407162037117,86.42159283796289,Juntos x Peru (izq)
21,PUNO,3.6217797589889313,10.265547594217914,926.337604828916,218127.0,262583.0,45.37600632397911,54.62399367602089,Juntos x Peru (izq)
22,SAN MARTIN,10.587951304288099,22.268805457232123,1255.6024919462698,65417.0,163032.0,28.63527526931613,71.36472473068388,Juntos x Peru (izq)
23,TACNA,6.145631862571489,14.846137137147842,1311.5911249746196,81960.0,45427.0,64.33937528947224,35.660624710527756,Keiko (der)
24,TUMBES,5.568998075797076,19.704615022063056,1093.942657588683,397144.0,208513.0,65.57242795839889,34.42757204160111,Keiko (der)
25,UCAYALI,12.36502561542194,19.94799223821235,961.4147442981254,139870.0,126251.0,52.55879844131053,47.44120155868947,Keiko (der)
