code,fw
Aves De Corral,1874.316024939537
Cuyes,1228.6458247065543
Vacuno,771.9740680794716
Porcino,761.8044119195938
Ovino,713.287956906557
"Equino (Burros, Caballos, Mul",435.75410468149187
Auquenidos,111.92381716537476
Caprino,76.48319398832321
Conejo,72.23300112223625
Otros,26.17313265299797
