from,to,gana_sis,pierde_sis
2014,2015,16.375192782938942,16.036849281632165
2015,2016,13.475518887774346,15.493949623401623
2016,2017,11.850540540938601,16.218257098583567
2017,2018,11.389034047706295,14.439430097761848
