grupo,share_medio,b,elasticidad,se,lo,hi
Alimentos,46.36709115809,-0.12621991317778955,0.7277812560045249,0.002686652506249067,0.7225154170922767,0.7330470949167731
Vestido y calzado,3.365599092174318,-0.0025981857748392048,0.9228016854152208,0.009529267841110401,0.9041243204466444,0.9414790503837972
Muebles y enseres,3.765764899663527,0.0012983683600600229,1.0344782107926076,0.00803166431654407,1.0187361487321813,1.0502202728530339
"Alquiler, vivienda y combustible",18.79966715760982,0.041905967740227076,1.2229080301736308,0.005557289467696906,1.212015742816945,1.2338003175303167
Otros bienes y servicios,3.719072380830017,0.009267475507277979,1.2491878231530862,0.008283516789572296,1.2329521302455244,1.265423516060648
Transporte y comunicaciones,10.061223462847488,0.0260931625780549,1.2593438330279378,0.006275663480649612,1.2470435326058646,1.271644133450011
Salud,7.456267202187422,0.02618678915591122,1.3512050795098771,0.010800119950031137,1.330036844407816,1.3723733146119381
"Esparcimiento, educacion y cultura",6.465314646597413,0.024066335611097556,1.3722376547251767,0.01052688821100701,1.3516049538316028,1.3928703556187505
