ym,ipc2009,factor_to_2001soles
202008,134.3459,0.610073
202009,134.5291,0.609242
202010,134.5517,0.60914
202011,135.252,0.605986
202012,135.3179,0.605691
202101,136.3232,0.601224
202102,136.1524,0.601978
202103,137.2954,0.596967
202104,137.1516,0.597592
202105,137.5172,0.596004
202106,138.2319,0.592922
202107,139.6246,0.587008
202108,140.9998,0.581283
202109,141.5644,0.578965
202110,142.3907,0.575605
202111,142.9007,0.573551
202112,144.0194,0.569096
202201,144.073,0.568883
202202,144.5218,0.567117
202203,146.6645,0.558832
202204,148.0753,0.553507
202205,148.6439,0.55139
202206,150.4137,0.544902
202207,151.829,0.539823
202208,152.841,0.536249
202209,153.6396,0.533461
202210,154.1738,0.531613
202211,154.9718,0.528875
202212,156.2022,0.524709
202301,156.5559,0.523524
202302,157.017,0.521987
202303,158.9852,0.515525
202304,159.8696,0.512673
202305,160.3777,0.511048
202306,160.1327,0.51183
202307,160.7589,0.509837
202308,161.3636,0.507926
202309,161.3901,0.507843
202310,160.8697,0.509486
202311,160.6074,0.510318
202312,161.2591,0.508255
202401,161.29,0.508158
202402,162.1893,0.50534
202403,163.8264,0.500291
202404,163.7417,0.500549
202405,163.5932,0.501004
202406,163.7924,0.500394
202407,164.1793,0.499215
202408,164.6459,0.4978
202409,164.2548,0.498986
202410,164.1018,0.499451
202411,164.2563,0.498981
202412,164.4299,0.498454
202501,164.2765,0.49892
202502,164.5853,0.497984
202503,165.9187,0.493981
202504,166.4465,0.492415
202505,166.3525,0.492694
202506,166.5665,0.49206
202507,166.952,0.490924
202508,166.4674,0.492353
202509,166.486,0.492298
202510,166.3201,0.492789
202511,166.5044,0.492244
202512,166.9108,0.491045
202601,167.0707,0.490575
202602,168.2295,0.487196
202603,172.2312,0.475877
202604,173.1279,0.473412
202605,172.8486,0.474177
