pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0151391831101,01513918311,0.09523809523809523,30.0,1.0,9.0,1.0,1.0,1013.6484792514287,72.7147216796875,0.0,0.0,0.0,1.0
0151391841101,01513918411,0.047619047619047616,67.0,1.0,6.0,1.0,0.0,1437.9800828950333,72.7147216796875,0.0,0.0,1.0,1.0
0151393861101,01513938611,0.0,40.0,0.0,6.0,1.0,1.0,547.8850343740979,72.7147216796875,0.0,1.0,0.0,1.0
0151490311101,01514903111,0.047619047619047616,56.0,1.0,3.0,1.0,1.0,875.345390173662,79.45623016357422,0.0,0.0,0.0,1.0
0151491101101,01514911011,0.047619047619047616,61.0,0.0,3.0,1.0,1.0,719.202140024229,79.45623016357422,0.0,0.0,0.0,1.0
0151491111101,01514911111,0.047619047619047616,43.0,0.0,3.0,1.0,1.0,244.86693331432403,79.45623016357422,1.0,1.0,0.0,1.0
0151491141101,01514911411,0.19047619047619047,53.0,0.0,11.0,1.0,1.0,922.3962127983086,79.45623016357422,0.0,0.0,0.0,1.0
0151491151101,01514911511,0.19047619047619047,49.0,1.0,3.0,1.0,1.0,909.3800914630817,79.45623016357422,0.0,1.0,0.0,1.0
0151600831101,01516008311,0.19047619047619047,38.0,0.0,11.0,0.0,1.0,193.5739395612342,72.7147216796875,1.0,1.0,0.0,1.0
0151600841101,01516008411,0.2857142857142857,30.0,1.0,11.0,1.0,1.0,226.21430830175328,72.7147216796875,1.0,1.0,0.0,1.0
0151910101101,01519101011,0.047619047619047616,36.0,1.0,19.0,1.0,1.0,3101.5922055645906,429.1026611328125,0.0,0.0,0.0,1.0
0151910511101,01519105111,0.0,72.0,0.0,14.0,0.0,1.0,1462.9168953868982,429.1026611328125,0.0,0.0,0.0,0.0
0151910941101,01519109411,0.0,77.0,0.0,11.0,0.0,0.0,1708.7536479026505,429.1026611328125,0.0,0.0,0.0,0.0
0151911191101,01519111911,0.047619047619047616,81.0,0.0,6.0,0.0,1.0,1156.57370539497,429.1026611328125,0.0,0.0,0.0,0.0
0152020121101,01520201211,0.09523809523809523,66.0,1.0,11.0,0.0,1.0,1649.4472513653975,7.647896766662598,0.0,0.0,0.0,0.0
0152020291101,01520202911,0.047619047619047616,76.0,1.0,3.0,0.0,0.0,2074.424052567546,7.647896766662598,0.0,0.0,0.0,0.0
0152021391101,01520213911,0.047619047619047616,71.0,0.0,11.0,1.0,1.0,1094.036921686736,7.647896766662598,0.0,0.0,0.0,1.0
0152190021101,01521900211,0.3333333333333333,30.0,0.0,17.0,1.0,1.0,495.55653247476744,338.5641784667969,1.0,0.0,0.0,1.0
0152190451101,01521904511,0.047619047619047616,33.0,1.0,14.0,0.0,1.0,1258.2125756982966,338.5641784667969,0.0,0.0,0.0,0.0
0152190641101,01521906411,0.0,60.0,1.0,6.0,1.0,1.0,1134.5969948165414,338.5641784667969,0.0,1.0,0.0,1.0
0152190831101,01521908311,0.0,86.0,0.0,3.0,0.0,0.0,1175.5293961068542,338.5641784667969,0.0,0.0,0.0,0.0
0152191111101,01521911111,0.0,53.0,0.0,3.0,0.0,1.0,478.07480171292525,338.5641784667969,1.0,0.0,0.0,0.0
0152191251101,01521912511,0.0,45.0,0.0,11.0,1.0,1.0,1188.1498261508018,338.5641784667969,0.0,0.0,0.0,1.0
0152210091101,01522100911,0.0,68.0,0.0,9.0,0.0,1.0,2097.3277118614224,429.1026611328125,0.0,0.0,0.0,0.0
