year,dpto,indicator,value
2004,01,pobreza,71.48863600933217
2004,02,pobreza,62.2374347158209
2004,03,pobreza,70.37395653746759
2004,04,pobreza,39.9527531417902
2004,05,pobreza,72.42798589371579
2004,06,pobreza,77.66274146747534
2004,07,pobreza,50.30635450036019
2004,08,pobreza,63.946264258281374
2004,09,pobreza,92.76033471743152
2004,10,pobreza,84.9428338550704
2004,11,pobreza,43.12644541926037
2004,12,pobreza,56.15812828635699
2004,13,pobreza,58.88867148537494
2004,14,pobreza,58.29337100080658
2004,15,pobreza,45.028970654821876
2004,16,pobreza,74.61810841066816
2004,17,pobreza,29.14369544926062
2004,18,pobreza,50.83428355294563
2004,19,pobreza,67.12752669456545
2004,20,pobreza,73.37508736833487
2004,21,pobreza,79.30534927519831
2004,22,pobreza,67.87930298110605
2004,23,pobreza,43.274222996001
2004,24,pobreza,35.98599120279337
2004,25,pobreza,60.6608635884564
2004,01,ingreso_real_pc,535.1458005894875
2004,02,ingreso_real_pc,657.192654948629
2004,03,ingreso_real_pc,442.79907879204166
2004,04,ingreso_real_pc,1086.8263154654019
2004,05,ingreso_real_pc,494.32705341476435
2004,06,ingreso_real_pc,441.9116199109592
2004,07,ingreso_real_pc,992.6055950404119
2004,08,ingreso_real_pc,588.7273303002098
2004,09,ingreso_real_pc,311.61476141397145
2004,10,ingreso_real_pc,389.79015336744004
2004,11,ingreso_real_pc,1155.5291689895753
2004,12,ingreso_real_pc,709.4448533964767
2004,13,ingreso_real_pc,823.3654729327247
2004,14,ingreso_real_pc,884.1829016292531
2004,15,ingreso_real_pc,1173.444178286764
2004,16,ingreso_real_pc,468.6971808078378
2004,17,ingreso_real_pc,748.8361379628337
2004,18,ingreso_real_pc,1011.8273874578593
2004,19,ingreso_real_pc,569.4945497865999
2004,20,ingreso_real_pc,640.2547495849537
2004,21,ingreso_real_pc,552.0460447970958
2004,22,ingreso_real_pc,479.8267078083704
2004,23,ingreso_real_pc,1142.6092699482151
2004,24,ingreso_real_pc,1049.6367583956342
2004,25,ingreso_real_pc,571.6509089918072
2004,01,educ_anios_25,6.173554955383708
2004,02,educ_anios_25,6.9434823900029645
2004,03,educ_anios_25,5.965299967577914
2004,04,educ_anios_25,9.82448091873294
2004,05,educ_anios_25,5.42427341636731
2004,06,educ_anios_25,5.435363870205828
2004,07,educ_anios_25,10.272795144317111
2004,08,educ_anios_25,6.720024569953568
2004,09,educ_anios_25,4.605288547618941
2004,10,educ_anios_25,5.67094893795972
2004,11,educ_anios_25,9.912554062832017
2004,12,educ_anios_25,8.12032268077565
2004,13,educ_anios_25,7.91743147292031
2004,14,educ_anios_25,7.942947466305723
2004,15,educ_anios_25,10.509838698536
2004,16,educ_anios_25,7.7253639471768745
2004,17,educ_anios_25,8.254699600799452
2004,18,educ_anios_25,8.609920375146068
2004,19,educ_anios_25,7.270216814564786
2004,20,educ_anios_25,6.864213925399065
2004,21,educ_anios_25,6.823040958768935
2004,22,educ_anios_25,6.656788493965469
2004,23,educ_anios_25,9.40464569212142
2004,24,educ_anios_25,7.997293621801228
2004,25,educ_anios_25,8.183367048382319
2004,01,analfabetismo_15,8.821916942994092
2004,02,analfabetismo_15,13.279541280342114
2004,03,analfabetismo_15,19.028212351689575
2004,04,analfabetismo_15,4.505090867216875
2004,05,analfabetismo_15,18.32743784471044
2004,06,analfabetismo_15,14.3742609300937
2004,07,analfabetismo_15,2.964524499336289
2004,08,analfabetismo_15,14.545940815613312
2004,09,analfabetismo_15,20.79926076496294
2004,10,analfabetismo_15,13.844981700801313
2004,11,analfabetismo_15,2.3743789015483654
2004,12,analfabetismo_15,7.7586683984021025
2004,13,analfabetismo_15,8.389792122207416
2004,14,analfabetismo_15,7.740290539636213
2004,15,analfabetismo_15,2.6725573789642336
2004,16,analfabetismo_15,3.0722814884791907
2004,17,analfabetismo_15,4.4894464036377695
2004,18,analfabetismo_15,6.387764895093739
2004,19,analfabetismo_15,10.358369002189827
2004,20,analfabetismo_15,11.077359352739201
2004,21,analfabetismo_15,12.315800152852283
2004,22,analfabetismo_15,6.779591229160853
2004,23,analfabetismo_15,3.83128115276098
2004,24,analfabetismo_15,4.212024452703552
2004,25,analfabetismo_15,3.9371314410479656
2004,01,lengua_indigena,2.866380670328691
2004,02,lengua_indigena,43.12402368756839
2004,03,lengua_indigena,69.81806650766842
2004,04,lengua_indigena,20.452925358551358
2004,05,lengua_indigena,63.079272308945534
2004,06,lengua_indigena,0.14185252498535836
2004,07,lengua_indigena,7.2577882306672645
2004,08,lengua_indigena,58.51548698231601
2004,09,lengua_indigena,69.20659476510491
2004,10,lengua_indigena,42.923720783235765
2004,11,lengua_indigena,8.706382357379216
2004,12,lengua_indigena,17.027544646121655
2004,13,lengua_indigena,0.7149987235950879
2004,14,lengua_indigena,1.0572758109604932
2004,15,lengua_indigena,8.476934691173934
2004,16,lengua_indigena,8.052551829257853
2004,17,lengua_indigena,28.942743415417738
2004,18,lengua_indigena,31.035473445707435
2004,19,lengua_indigena,13.772871092002495
2004,20,lengua_indigena,0.09634224763296899
2004,21,lengua_indigena,67.02319727535473
2004,22,lengua_indigena,2.146578070014491
2004,23,lengua_indigena,24.687623112218056
2004,24,lengua_indigena,0.18076494072243526
2004,25,lengua_indigena,19.91561777020866
2004,01,pct_60mas,8.563987674941334
2004,02,pct_60mas,11.751880800677666
2004,03,pct_60mas,9.31715611703889
2004,04,pct_60mas,9.685614712238156
2004,05,pct_60mas,11.537671717916602
2004,06,pct_60mas,9.182005529365313
2004,07,pct_60mas,9.52308025243855
2004,08,pct_60mas,9.101595980751995
2004,09,pct_60mas,8.903812631542666
2004,10,pct_60mas,8.137713052592682
2004,11,pct_60mas,10.33488432350378
2004,12,pct_60mas,9.150832426065131
2004,13,pct_60mas,9.433625615732835
2004,14,pct_60mas,8.979962765056202
2004,15,pct_60mas,9.743010851250162
2004,16,pct_60mas,5.991612812916923
2004,17,pct_60mas,4.051390485111978
2004,18,pct_60mas,11.934446714113784
2004,19,pct_60mas,7.845148278172987
2004,20,pct_60mas,8.674356203448388
2004,21,pct_60mas,9.778723977724876
2004,22,pct_60mas,6.630550399563422
2004,23,pct_60mas,7.071416274685157
2004,24,pct_60mas,9.206346178486633
2004,25,pct_60mas,7.127803121976683
2004,01,pct_sis,24.906590115388376
2004,02,pct_sis,19.874301010374644
2004,03,pct_sis,36.1730573432527
2004,04,pct_sis,12.599887512599494
2004,05,pct_sis,25.136999148169213
2004,06,pct_sis,17.953930338966924
2004,07,pct_sis,10.998980366652269
2004,08,pct_sis,18.16207030500882
2004,09,pct_sis,30.309015910835402
2004,10,pct_sis,24.178107698947127
2004,11,pct_sis,10.157394724112123
2004,12,pct_sis,11.766257455430056
2004,13,pct_sis,12.117088194221266
2004,14,pct_sis,14.86069421701143
2004,15,pct_sis,8.553580563158413
2004,16,pct_sis,23.930820349211576
2004,17,pct_sis,15.937369438798948
2004,18,pct_sis,10.384669719338534
2004,19,pct_sis,24.52294785747253
2004,20,pct_sis,21.601164592042736
2004,21,pct_sis,12.101077868812448
2004,22,pct_sis,22.834522268814066
2004,23,pct_sis,9.94127057333391
2004,24,pct_sis,22.138246000808977
2004,25,pct_sis,20.140339275907664
2005,01,pobreza,74.64781192110746
2005,02,pobreza,55.30497457524891
2005,03,pobreza,74.52002213585189
2005,04,pobreza,28.537358025822922
2005,05,pobreza,78.58539221419248
2005,06,pobreza,75.39744439146823
2005,07,pobreza,42.92654045876885
2005,08,pobreza,60.891617507480014
2005,09,pobreza,92.6608492656979
2005,10,pobreza,78.8488451790382
2005,11,pobreza,34.76549565292871
2005,12,pobreza,61.7143895960652
2005,13,pobreza,49.152723772193255
2005,14,pobreza,56.898902967550235
2005,15,pobreza,42.60117912265965
2005,16,pobreza,74.98118927897227
2005,17,pobreza,31.343383663488645
2005,18,pobreza,36.87724726510127
2005,19,pobreza,71.02196177711981
2005,20,pobreza,70.13669267401342
2005,21,pobreza,74.1209470294072
2005,22,pobreza,67.92646081186344
2005,23,pobreza,42.46850271352602
2005,24,pobreza,23.501550401535354
2005,25,pobreza,57.907652029061175
2005,01,ingreso_real_pc,457.44961623495755
2005,02,ingreso_real_pc,699.5101244881522
2005,03,ingreso_real_pc,426.29246051253256
2005,04,ingreso_real_pc,1081.6652910492853
2005,05,ingreso_real_pc,461.96093140920414
2005,06,ingreso_real_pc,461.2824172288308
2005,07,ingreso_real_pc,851.3082611655313
2005,08,ingreso_real_pc,616.7791847377999
2005,09,ingreso_real_pc,291.8413831922764
2005,10,ingreso_real_pc,438.47992388822286
2005,11,ingreso_real_pc,1156.5926405945445
2005,12,ingreso_real_pc,710.9429947159967
2005,13,ingreso_real_pc,847.758414361663
2005,14,ingreso_real_pc,802.072419173216
2005,15,ingreso_real_pc,1116.6260790772599
2005,16,ingreso_real_pc,440.15690008238175
2005,17,ingreso_real_pc,816.4423185504263
2005,18,ingreso_real_pc,1126.8806487111
2005,19,ingreso_real_pc,523.1769164959567
2005,20,ingreso_real_pc,651.7722570191228
2005,21,ingreso_real_pc,522.0079225452346
2005,22,ingreso_real_pc,514.7381424160108
2005,23,ingreso_real_pc,1138.1847533879088
2005,24,ingreso_real_pc,1171.3641359192416
2005,25,ingreso_real_pc,616.00042161458
2005,01,educ_anios_25,5.951587255990435
2005,02,educ_anios_25,6.890350548750366
2005,03,educ_anios_25,5.984875122887635
2005,04,educ_anios_25,9.948723704821905
2005,05,educ_anios_25,5.868522353306106
2005,06,educ_anios_25,5.444498285512919
2005,07,educ_anios_25,10.09805590932755
2005,08,educ_anios_25,6.935590709908882
2005,09,educ_anios_25,4.537115338893004
2005,10,educ_anios_25,5.682406806374328
2005,11,educ_anios_25,9.851779016672495
2005,12,educ_anios_25,7.955523922736099
2005,13,educ_anios_25,7.991861752422586
2005,14,educ_anios_25,8.208313629414805
2005,15,educ_anios_25,10.494026583701075
2005,16,educ_anios_25,7.639708555565863
2005,17,educ_anios_25,8.590298915972053
2005,18,educ_anios_25,8.960285900724129
2005,19,educ_anios_25,7.219255512941062
2005,20,educ_anios_25,6.79674186193502
2005,21,educ_anios_25,6.661892499261246
2005,22,educ_anios_25,6.891545808352244
2005,23,educ_anios_25,9.33641565731609
2005,24,educ_anios_25,8.596971500931675
2005,25,educ_anios_25,8.314315862428945
2005,01,analfabetismo_15,8.150881790730397
2005,02,analfabetismo_15,12.549034775456505
2005,03,analfabetismo_15,18.675511782376393
2005,04,analfabetismo_15,4.52957276968046
2005,05,analfabetismo_15,16.74255676959756
2005,06,analfabetismo_15,15.505445627289355
2005,07,analfabetismo_15,3.3162929349484087
2005,08,analfabetismo_15,13.625841078197274
2005,09,analfabetismo_15,23.343065681987994
2005,10,analfabetismo_15,14.665797451521584
2005,11,analfabetismo_15,2.7958751997974938
2005,12,analfabetismo_15,6.6888438100393595
2005,13,analfabetismo_15,8.06920224422745
2005,14,analfabetismo_15,6.5675298944966904
2005,15,analfabetismo_15,2.3680990631763774
2005,16,analfabetismo_15,4.3057792715915495
2005,17,analfabetismo_15,3.1567677427611884
2005,18,analfabetismo_15,6.151456511127855
2005,19,analfabetismo_15,11.163623120737043
2005,20,analfabetismo_15,10.731378534493912
2005,21,analfabetismo_15,12.889971920004692
2005,22,analfabetismo_15,5.383707963471875
2005,23,analfabetismo_15,3.7267837828870554
2005,24,analfabetismo_15,3.0492737031027826
2005,25,analfabetismo_15,3.671566900883669
2005,01,lengua_indigena,11.21230390953134
2005,02,lengua_indigena,38.052002286597656
2005,03,lengua_indigena,66.95817438936824
2005,04,lengua_indigena,18.114213514025042
2005,05,lengua_indigena,70.0246958540766
2005,06,lengua_indigena,0.11124376540059999
2005,07,lengua_indigena,5.8856664710377835
2005,08,lengua_indigena,58.05390779706897
2005,09,lengua_indigena,74.4564154368243
2005,10,lengua_indigena,34.60208005134807
2005,11,lengua_indigena,7.5847483191611085
2005,12,lengua_indigena,17.732354514653068
2005,13,lengua_indigena,0.4914408346768604
2005,14,lengua_indigena,1.0484745881172617
2005,15,lengua_indigena,7.432634054072079
2005,16,lengua_indigena,4.832810933882748
2005,17,lengua_indigena,24.17105663077737
2005,18,lengua_indigena,33.23379566302336
2005,19,lengua_indigena,13.41648475448243
2005,20,lengua_indigena,0.21296758813723987
2005,21,lengua_indigena,68.67801276805731
2005,22,lengua_indigena,1.3047492740609576
2005,23,lengua_indigena,21.701504268579487
2005,24,lengua_indigena,0.35113558876731893
2005,25,lengua_indigena,13.414289740393489
2005,01,pct_60mas,8.059845474787254
2005,02,pct_60mas,11.343510107921666
2005,03,pct_60mas,11.819477222314829
2005,04,pct_60mas,9.956855511032932
2005,05,pct_60mas,10.40426798872155
2005,06,pct_60mas,9.884801922579008
2005,07,pct_60mas,11.266153344649847
2005,08,pct_60mas,9.020370793491573
2005,09,pct_60mas,9.04284855862633
2005,10,pct_60mas,8.978463085564384
2005,11,pct_60mas,10.149189426748372
2005,12,pct_60mas,9.899956131716207
2005,13,pct_60mas,10.509105689353316
2005,14,pct_60mas,9.269280092353952
2005,15,pct_60mas,10.895468496659584
2005,16,pct_60mas,7.130000896208327
2005,17,pct_60mas,4.545086754197064
2005,18,pct_60mas,12.407732855111353
2005,19,pct_60mas,8.751630640641698
2005,20,pct_60mas,9.366585564517901
2005,21,pct_60mas,12.09553014270547
2005,22,pct_60mas,5.743573054697207
2005,23,pct_60mas,8.164090890275418
2005,24,pct_60mas,6.6025633600941
2005,25,pct_60mas,6.0197428555673005
2005,01,pct_sis,27.398817302298067
2005,02,pct_sis,12.657685518212139
2005,03,pct_sis,34.98406477943362
2005,04,pct_sis,11.195261953711604
2005,05,pct_sis,29.31560815870747
2005,06,pct_sis,21.421152539458635
2005,07,pct_sis,9.081064534373166
2005,08,pct_sis,23.324673937004352
2005,09,pct_sis,30.73385208437422
2005,10,pct_sis,23.41824492672814
2005,11,pct_sis,9.170773064754103
2005,12,pct_sis,9.895368319140706
2005,13,pct_sis,11.28546597788484
2005,14,pct_sis,15.27571068422166
2005,15,pct_sis,6.502429342510228
2005,16,pct_sis,23.900188849918933
2005,17,pct_sis,13.881506936020838
2005,18,pct_sis,9.475550994459976
2005,19,pct_sis,20.209912153941488
2005,20,pct_sis,17.141527040545483
2005,21,pct_sis,12.662761413593735
2005,22,pct_sis,18.613750434727912
2005,23,pct_sis,9.800657465319022
2005,24,pct_sis,18.71163951899167
2005,25,pct_sis,21.566171801411333
2006,01,pobreza,67.55635878377376
2006,02,pobreza,43.367835069467034
2006,03,pobreza,70.5930937407739
2006,04,pobreza,26.42926048076321
2006,05,pobreza,77.28415308804728
2006,06,pobreza,69.66636067416268
2006,07,pobreza,37.707129675214816
2006,08,pobreza,53.75579548177038
2006,09,pobreza,89.12898711191126
2006,10,pobreza,76.68265007287499
2006,11,pobreza,28.74716638609256
2006,12,pobreza,49.54611536972302
2006,13,pobreza,49.68483629989919
2006,14,pobreza,50.9199422503612
2006,15,pobreza,32.38121733550057
2006,16,pobreza,69.90072801229033
2006,17,pobreza,20.341055545184215
2006,18,pobreza,35.01274933182702
2006,19,pobreza,65.53723724844609
2006,20,pobreza,65.0261387494638
2006,21,pobreza,71.27377900987892
2006,22,pobreza,70.96442362132824
2006,23,pobreza,31.504601420354057
2006,24,pobreza,20.29381039017667
2006,25,pobreza,59.21857438780202
2006,01,ingreso_real_pc,570.0462396038098
2006,02,ingreso_real_pc,768.3538752230229
2006,03,ingreso_real_pc,463.1678494155677
2006,04,ingreso_real_pc,1110.3792901228574
2006,05,ingreso_real_pc,459.11131326491756
2006,06,ingreso_real_pc,493.65433054054523
2006,07,ingreso_real_pc,925.080531215562
2006,08,ingreso_real_pc,692.0479454852488
2006,09,ingreso_real_pc,304.9856948285588
2006,10,ingreso_real_pc,504.0015433479789
2006,11,ingreso_real_pc,1180.329034500507
2006,12,ingreso_real_pc,809.2265730801121
