codciudad,ciudad
1,Chachapoyas
2,Huaraz
3,Chimbote
4,Abancay
6,Arequipa
9,Ayacucho
10,Cajamarca
12,Cusco
14,Huancavelica
15,Huánuco
17,Ica
21,Huancayo
24,Trujillo
25,Chiclayo
26,Lima Metropolitana y Callao
33,Iquitos
35,Puerto Maldonado
36,Moquegua
38,Pasco
39,Piura
43,Puno
44,Juliaca
45,Moyobamba
46,Tarapoto
47,Tacna
48,Tumbes
49,Pucallpa
