anio,ccdd,departamento,rmv,salario_mediano,indice_kaitz,pct_bajo_rmv,p90_p10,gini_ingreso,brecha_genero,desempleo_joven
2024,22,San Martin,1025,929,1.103,27.8,20.08,0.497,0.85,7.07
2024,23,Tacna,1025,1299,0.789,19.8,7.34,0.385,0.734,12.56
2024,24,Tumbes,1025,1240,0.827,24.9,6.67,0.371,0.789,11.69
2024,25,Ucayali,1025,1200,0.854,10.2,6.47,0.349,0.9,9.16
2025,1,Amazonas,1130,815,1.386,42.4,16.96,0.503,0.808,8.13
2025,2,Ancash,1130,1083,1.043,26.9,15.31,0.46,0.764,8.73
2025,3,Apurimac,1130,791,1.429,35.2,15.84,0.502,0.808,7.61
2025,4,Arequipa,1130,1560,0.724,18.3,6.25,0.375,0.671,11.35
2025,5,Ayacucho,1130,889,1.271,39.2,16.85,0.487,0.815,7.88
2025,6,Cajamarca,1130,730,1.548,38.2,15.12,0.502,0.63,6.33
2025,8,Cusco,1130,1130,1.0,28.5,10.49,0.437,0.678,8.83
2025,9,Huancavelica,1130,619,1.826,35.7,24.49,0.549,0.663,7.12
2025,10,Huanuco,1130,889,1.271,31.2,17.34,0.506,0.631,6.75
2025,11,Ica,1130,1650,0.685,15.0,5.26,0.336,0.762,16.15
2025,12,Junin,1130,1100,1.027,34.9,14.29,0.465,0.667,8.05
2025,13,La Libertad,1130,1340,0.843,21.3,9.38,0.394,0.726,6.65
2025,14,Lambayeque,1130,1100,1.027,34.3,12.18,0.429,0.637,12.49
2025,15,Lima,1130,1600,0.706,15.5,7.27,0.412,0.746,14.77
2025,16,Loreto,1130,1080,1.046,19.5,13.1,0.462,0.885,6.56
2025,17,Madre de Dios,1130,1648,0.686,13.8,7.5,0.381,0.784,9.47
2025,18,Moquegua,1130,1800,0.628,14.5,8.77,0.411,0.7,11.91
2025,19,Pasco,1130,864,1.307,24.9,30.54,0.52,0.577,13.43
2025,20,Piura,1130,1039,1.088,31.0,15.25,0.464,0.63,11.25
2025,21,Puno,1130,566,1.996,38.9,26.48,0.551,0.436,8.59
2025,22,San Martin,1130,1016,1.112,34.4,16.26,0.488,0.831,6.54
2025,23,Tacna,1130,1386,0.815,21.9,6.13,0.371,0.778,13.68
2025,24,Tumbes,1130,1300,0.869,28.0,6.67,0.361,0.821,15.1
2025,25,Ucayali,1130,1299,0.87,16.5,6.47,0.348,0.938,4.78
