from,to,informalizacion,formalizacion
2016,2017,15.997426922292032,10.47933278477129
2017,2018,19.691638527751984,9.781667538653863
2018,2019,18.020563857181603,8.62714056001474
2019,2020,50.14565588598585,7.0226594006300695
