dep,educ,adol_madre,hijos_ceb,anemia,desnutricion,parto_inst
AMAZONAS,8.776247228533922,20.354013888706625,2.1769290983146967,42.925408142625415,19.2084522523301,75.89735009517752
ANCASH,10.14579081338853,10.11041570426669,1.7144243744473007,42.05820809655854,15.230232694660183,96.54481929326835
APURIMAC,9.552026815255882,10.356157628005688,2.0002195357870987,53.44902444578523,19.0015657449288,99.66629164851258
AREQUIPA,11.87131537617105,5.076911858818564,1.4031129676671923,39.15366547067772,5.447566691979322,98.5621073181272
AYACUCHO,9.471856492746948,12.567902637332795,1.9606326705972374,49.650706137389385,18.48103257262584,98.84511935036319
CAJAMARCA,8.377209344112194,15.486939604520671,1.9523474270503218,34.407400073238556,23.85224893418804,83.66065549284603
CALLAO,11.510484616607332,7.940690273371266,1.432632185502952,35.46364362543198,5.343495918273782,99.55311446318929
CUSCO,10.002251589931188,7.847280287146007,1.8468915963403465,54.172100178519514,12.853652358138492,98.10491387603355
HUANCAVELICA,8.755650282230658,13.168662236475797,2.245541275526896,56.26650894429524,29.850891370894338,94.49084739545009
HUANUCO,8.925047862936186,13.271444733345017,1.9807914724888847,44.35669320383323,18.87419965939002,94.88075652351316
ICA,11.689343932819863,11.592593282975946,1.6797331269775304,38.69310557146165,6.372848800100962,99.3292849585743
JUNIN,10.572321754098185,11.111758167077875,1.7373945161417532,50.820708998259136,17.518635011703573,92.63086396207265
LA LIBERTAD,10.178364775904575,11.251997536045543,1.6310663201607045,37.10430650657962,13.968722929808022,87.98043933479161
LAMBAYEQUE,10.650513985310363,10.615590366243943,1.6644696200188405,37.3632909498161,10.480007647646751,94.17611593356811
LIMA,11.903341970000303,6.255420163110561,1.330680945951629,33.34169736464213,4.808363632882198,99.55807332504892
LORETO,9.29239650477443,23.208990167104137,2.321047581450934,58.02022005309378,22.704051559953285,71.73770840332172
MADRE DE DIOS,10.476281568942074,13.51073954837915,1.9947959541367148,56.58531131139108,7.432733807898636,97.3583627061823
MOQUEGUA,11.940306710465004,6.15433828772301,1.4838393384690334,34.68857391465237,2.8538886528241707,99.17092305748203
PASCO,10.33170476144284,12.263483392905108,1.9419064831412958,55.65891108846077,18.703600258150683,94.05911951301863
PIURA,10.211846205052307,11.451704331674451,1.8218043614239972,40.93819419233687,13.981641485542129,90.45127467442083
PUNO,10.083188070108267,7.439286711750679,1.8114528972665094,71.54194956650376,13.623768896936488,92.73925024096386
SAN MARTIN,9.282950672903828,17.505858112083697,1.9694823642169794,45.83134014258852,11.309101395033133,93.17515744757581
TACNA,11.657034938713643,5.908206955626441,1.3699355137184581,33.076192936147116,2.3381553614841173,98.51377166264733
TUMBES,11.035916565101818,13.646576727780584,1.77719927459554,44.32782007690896,8.15044323694599,98.48886062262447
UCAYALI,10.083427933009927,20.62454273540077,2.1448765693311307,58.61070124943962,19.23073378647035,83.4985412622898
