ym,desempleo,desempleo_h,desempleo_m,desempleo_joven,desempleo_adulto,desempleo_mayor,ingreso,fuente,desempleo_total
200801,8.1,6.69,9.84,14.48,5.64,6.68,937.0,micro_EPE,8.1
200802,8.96,7.08,11.29,16.61,6.24,6.47,954.0,micro_EPE,8.96
200803,9.29,7.14,11.93,17.19,6.48,6.72,991.0,micro_EPE,9.29
200804,9.0,7.1,11.31,16.13,6.57,6.54,1004.0,micro_EPE,9.0
200805,8.1,6.43,10.13,13.85,6.36,5.88,1000.0,micro_EPE,8.1
200806,7.9,6.14,10.06,13.76,6.22,5.54,999.0,micro_EPE,7.9
200807,8.12,6.33,10.29,14.76,6.05,5.76,1009.0,micro_EPE,8.12
200808,8.38,6.53,10.65,16.47,5.71,5.75,1013.0,micro_EPE,8.38
200809,8.52,6.33,11.24,16.65,5.82,5.82,1002.0,micro_EPE,8.52
200810,7.91,5.83,10.52,15.7,5.54,4.78,997.0,micro_EPE,7.91
200811,7.66,6.0,9.72,14.92,5.76,4.23,1015.0,micro_EPE,7.66
200812,7.78,6.32,9.61,15.69,5.77,4.03,1028.0,micro_EPE,7.78
200901,8.81,7.46,10.48,17.67,6.62,4.39,1046.0,micro_EPE,8.81
200902,9.31,7.75,11.21,19.0,6.44,5.32,1069.0,micro_EPE,9.31
200903,9.31,7.82,11.11,18.21,6.92,5.09,1060.0,micro_EPE,9.31
200904,8.77,6.89,11.0,17.57,6.36,5.05,1050.0,micro_EPE,8.77
200905,8.46,6.23,11.08,16.63,6.56,4.48,1049.0,micro_EPE,8.46
200906,8.5,6.41,10.99,17.35,6.38,4.41,1055.0,micro_EPE,8.5
200907,8.2,6.22,10.58,15.94,6.21,5.01,1059.0,micro_EPE,8.2
200908,8.3,6.84,10.07,16.16,5.96,5.71,1073.0,micro_EPE,8.3
200909,7.83,6.44,9.51,14.88,5.57,5.87,1113.0,micro_EPE,7.83
200910,7.63,6.39,9.13,14.67,5.44,5.54,1112.0,micro_EPE,7.63
200911,7.22,5.69,9.07,14.97,5.07,4.32,1102.0,micro_EPE,7.22
200912,7.91,6.26,9.86,16.29,5.51,4.57,1100.0,micro_EPE,7.91
201001,8.61,6.92,10.63,17.67,5.97,4.62,1119.0,micro_EPE,8.61
201002,9.59,7.97,11.53,18.09,6.94,5.53,1114.0,micro_EPE,9.59
201003,9.18,7.59,11.1,17.32,6.8,5.03,1108.0,micro_EPE,9.18
201004,9.0,7.7,10.56,16.18,7.32,4.72,1092.0,micro_EPE,9.0
201005,7.74,6.58,9.11,14.24,6.31,4.05,1063.0,micro_EPE,7.74
201006,7.59,6.34,9.09,14.18,6.3,3.95,1070.0,micro_EPE,7.59
201007,7.04,5.71,8.62,13.8,5.42,3.99,1063.0,micro_EPE,7.04
201008,7.4,5.85,9.22,14.81,5.82,3.73,1085.0,micro_EPE,7.4
201009,7.64,6.26,9.26,15.84,5.72,3.8,1049.0,micro_EPE,7.64
201010,7.86,6.36,9.63,16.78,5.86,3.32,1084.0,micro_EPE,7.86
201011,7.59,5.85,9.66,16.02,5.77,3.07,1121.0,micro_EPE,7.59
201012,7.16,5.6,9.03,15.31,5.19,3.08,1124.0,micro_EPE,7.16
201101,7.68,5.9,9.86,17.46,5.04,3.28,1151.0,micro_EPE,7.68
201102,9.12,7.07,11.59,20.37,4.73,6.51,1152.0,micro_EPE,9.12
201103,9.39,7.38,11.83,20.29,5.48,5.96,1174.0,micro_EPE,9.39
201104,8.81,6.85,11.16,17.78,5.74,6.04,1161.0,micro_EPE,8.81
201105,7.35,6.04,8.95,14.37,5.99,3.3,1159.0,micro_EPE,7.35
201106,7.3,5.7,9.23,14.39,5.65,4.0,1192.0,micro_EPE,7.3
201107,6.97,5.39,8.87,13.65,5.13,4.4,1204.0,micro_EPE,6.97
201108,7.02,5.18,9.22,13.61,5.27,4.3,1231.0,micro_EPE,7.02
201109,7.31,5.36,9.63,14.18,5.51,4.35,1237.0,micro_EPE,7.31
201110,7.32,5.04,10.05,14.97,5.56,3.62,1276.0,micro_EPE,7.32
201111,7.05,4.71,9.83,14.76,4.99,4.01,1291.0,micro_EPE,7.05
201112,6.99,4.75,9.62,15.5,4.65,3.52,1285.0,micro_EPE,6.99
201201,7.75,5.87,9.97,15.73,5.69,4.05,1300.0,micro_EPE,7.75
201202,8.31,6.31,10.67,17.01,6.08,3.86,1302.0,micro_EPE,8.31
201203,8.66,6.84,10.81,16.63,6.63,4.77,1340.0,micro_EPE,8.66
201204,8.05,6.3,10.17,15.68,6.27,4.25,1318.0,micro_EPE,8.05
201205,7.22,5.92,8.79,13.9,5.68,4.03,1300.0,micro_EPE,7.22
201206,6.29,5.02,7.82,12.23,4.84,3.73,1300.0,micro_EPE,6.29
201207,6.21,4.95,7.72,12.38,4.62,3.57,1312.0,micro_EPE,6.21
201208,6.66,5.38,8.21,13.08,5.18,3.71,1344.0,micro_EPE,6.66
201209,6.6,5.23,8.26,13.01,5.24,3.35,1331.0,micro_EPE,6.6
201210,6.22,4.92,7.81,12.59,4.73,3.31,1329.0,micro_EPE,6.22
201211,5.91,4.72,7.35,12.67,4.12,3.19,1343.0,micro_EPE,5.91
201212,5.64,4.37,7.18,11.99,4.04,2.76,1342.0,micro_EPE,5.64
201301,6.13,4.85,7.69,13.55,4.16,2.91,1360.0,micro_EPE,6.13
201302,6.4,4.86,8.31,13.86,4.4,2.95,1356.0,micro_EPE,6.4
201303,6.39,5.03,8.04,14.01,4.28,3.05,1386.0,micro_EPE,6.39
201304,5.61,4.52,6.93,11.92,4.0,2.83,1386.0,micro_EPE,5.61
201305,5.67,4.38,7.21,11.85,4.39,2.43,1383.0,micro_EPE,5.67
201306,5.78,4.33,7.51,12.32,4.48,2.44,1376.0,micro_EPE,5.78
201307,6.03,4.79,7.53,13.19,4.64,2.23,1380.0,micro_EPE,6.03
201308,5.56,5.01,6.23,12.2,4.08,2.69,1408.0,micro_EPE,5.56
201309,5.94,5.57,6.39,13.26,4.31,2.75,1430.0,micro_EPE,5.94
201310,5.77,4.97,6.72,12.9,3.95,3.1,1435.0,micro_EPE,5.77
201311,5.77,4.67,7.07,13.64,3.77,2.86,1445.0,micro_EPE,5.77
201312,5.68,4.71,6.84,14.05,3.62,2.36,1434.0,micro_EPE,5.68
201401,6.37,5.45,7.46,15.09,4.13,3.01,1465.0,micro_EPE,6.37
201402,6.98,5.94,8.22,15.66,4.77,3.14,1451.0,micro_EPE,6.98
201403,6.95,5.85,8.28,14.52,4.92,3.73,1462.0,micro_EPE,6.95
201404,6.28,5.51,7.22,13.58,4.58,2.96,1449.0,micro_EPE,6.28
201405,5.8,5.0,6.77,12.77,4.36,2.73,1451.0,micro_EPE,5.8
201406,5.67,5.09,6.39,12.53,4.27,2.72,1475.0,micro_EPE,5.67
201407,5.73,5.02,6.61,13.7,4.06,2.46,1499.0,micro_EPE,5.73
201408,5.9,5.2,6.74,13.87,4.12,2.68,1520.0,micro_EPE,5.9
201409,5.61,4.51,6.93,14.18,3.72,2.25,1527.0,micro_EPE,5.61
201410,5.69,4.91,6.62,13.52,4.06,2.38,1543.0,micro_EPE,5.69
201411,5.42,4.8,6.16,13.52,3.67,2.05,1547.0,micro_EPE,5.42
201412,5.56,5.0,6.22,14.07,3.65,2.24,1551.0,micro_EPE,5.56
201501,6.35,5.37,7.52,15.29,4.49,2.11,1578.0,micro_EPE,6.35
201502,6.89,5.73,8.26,16.22,4.95,2.17,1594.0,micro_EPE,6.89
201503,7.03,5.69,8.6,15.36,5.51,2.24,1609.0,micro_EPE,7.03
201504,6.81,5.45,8.4,14.94,5.21,2.64,1572.0,micro_EPE,6.81
201505,6.98,5.57,8.64,15.57,5.4,2.68,1560.0,micro_EPE,6.98
201506,6.82,5.52,8.36,16.14,4.96,2.62,1537.0,micro_EPE,6.82
201507,6.44,5.12,8.01,15.08,4.62,2.74,1525.0,micro_EPE,6.44
201508,6.14,4.7,7.86,14.05,4.5,2.75,1541.0,micro_EPE,6.14
201509,6.44,5.26,7.85,14.5,4.92,2.63,1560.0,micro_EPE,6.44
201510,5.83,5.04,6.76,13.2,4.52,2.19,1579.0,micro_EPE,5.83
201511,5.76,5.17,6.46,13.04,4.53,1.91,1611.0,micro_EPE,5.76
201512,5.69,5.09,6.41,13.36,4.22,1.88,1602.0,micro_EPE,5.69
201601,6.59,5.58,7.81,15.68,4.72,2.2,1636.0,micro_EPE,6.59
