year,Costa,n_Costa,Costa_lo,Costa_hi,Sierra,n_Sierra,Sierra_lo,Sierra_hi,Selva,n_Selva,Selva_lo,Selva_hi
2004,0.7339408178970033,2779,0.6912967023409872,0.7683573100217586,0.5332082227352875,1386,0.47635394046219337,0.6014592132135271,0.6886751357672466,863,0.5994454588929248,0.8822431797783962
2005,0.6694397005493965,2658,0.632510126386365,0.7176079391579242,0.5903153986398996,1419,0.4998944072977517,0.643809832592361,0.6821464854313817,869,0.5974505533344138,0.8837380047697283
2006,0.6928008766473225,2993,0.6601427945680951,0.7430737954084315,0.5398906034070423,1603,0.500687405567682,0.6492343235015581,0.6705348059257416,996,0.5895030250990722,0.7934638399340639
2007,0.7109648203804811,3511,0.6836921894465322,0.7328082566410753,0.608202189642377,1852,0.5482123473839062,0.6634987155780235,0.5597681359300963,1187,0.4736350234534407,0.6242408577798243
2008,0.6934134305942931,3300,0.666550334038055,0.7178906818595342,0.5465721724038184,1931,0.5137558300189045,0.6335843720402027,0.599249102187398,1202,0.5378954066546531,0.6902371247725384
2009,0.6638951384133815,3325,0.6381442827518049,0.719005986167934,0.6289762095696337,1986,0.5690036852290941,0.6651914400598108,0.6555023923444976,1233,0.5595174090300482,0.7123132416884073
2010,0.691975012013455,3384,0.6730171350261316,0.7030075187969925,0.6009354063961573,2020,0.5377960684885265,0.624783923857969,0.6457011742475368,1226,0.579191564173607,0.7251919899888097
2011,0.7206996033177064,4022,0.691604980462133,0.7490526061009503,0.6428647327595367,2234,0.5965148460336285,0.6823864017771858,0.7648496700073332,1363,0.7212575198263775,0.8808460226650028
2012,0.7467888407101366,4204,0.7204644427408223,0.7709100252603847,0.7011750995435564,2403,0.6311757074549721,0.7439359947889075,0.7685729556386959,1375,0.6669301600558084,0.834961161855137
2013,0.7518248175182481,5297,0.7382205501904542,0.7742293367144781,0.67038231229848,2899,0.6350704370299494,0.7241767158070098,0.8034057306005914,1634,0.7105304958121521,0.9119043205178574
2014,0.7222803712232224,5288,0.7118138607460602,0.7398847765363129,0.6999647639182522,2895,0.6341116655471764,0.7699731762138633,0.7186147186147186,1743,0.6752688533712312,0.8070713701885079
2015,0.7485113835376532,5351,0.7305299055678425,0.7559851280025861,0.737698116338893,2799,0.6924666371430823,0.7557380081778864,0.7520803183791607,1667,0.6591311276797984,0.8216715414559768
2016,0.76953125,6554,0.7431392128125437,0.802839092647903,0.7489508763268329,3116,0.7255322426930219,0.7793841916829383,0.7262277951933125,1696,0.6415765938011174,0.7967692354488539
2017,0.7761057911536707,6102,0.7440134405107568,0.812254017024902,0.7088499690018599,2933,0.6598486260108688,0.7654510935859082,0.7433244325767691,1842,0.6459839840748373,0.8115361022412789
2018,0.7702668034889687,6215,0.7615911560902529,0.7762715683749678,0.7368582140944219,3342,0.6892863372702239,0.7876417250178168,0.7402460741460256,1901,0.6527157375654996,0.7862209794569092
2019,0.7678022540983607,6148,0.759198142402551,0.7750515538134639,0.6704805491990846,2913,0.6407533338233651,0.7260742303122638,0.7716832637327337,1778,0.7186259100625181,0.8406695295645826
2020,0.8333333333333334,4563,0.8235972224365951,0.8608067853810901,0.8083447222445534,2257,0.7428823952089266,0.8668362066215766,0.7930424528301887,1564,0.7199504347960336,0.8695974139707396
2021,0.8135604174311403,5172,0.7957656187082978,0.8500036224736613,0.7250412158961929,2482,0.6603717014129112,0.7654492053111462,0.7164915568729631,1783,0.6479527339109448,0.7570637027605381
2022,0.77651124719578,5933,0.7497187478996881,0.79776092167594,0.6909248285505027,2830,0.6451826872399163,0.7340309595689121,0.7984017435524882,1853,0.7481349724319792,0.8450538970856625
2023,0.7956179963204549,5889,0.7698418601304565,0.8037594089639537,0.7735849056603774,2673,0.7213289031161398,0.7873784674219825,0.8229734391169369,1865,0.7482037436688321,0.8480650783879015
2024,0.8068957859086114,5901,0.7951804763121469,0.8299372605629893,0.7565230816736144,2793,0.714260449212993,0.7853889370405815,0.8087255099979802,1945,0.764731309605252,0.8420710578082867
2025,0.8345924243224682,5922,0.8150822324202732,0.8570916099482468,0.7293738541030057,2820,0.6872295573061133,0.7540667560625987,0.8031405591727308,1976,0.7524445471638324,0.860659624184359
