,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,64.4,25.7,8.0,1.7,0.3
q2_origen,23.4,37.3,24.6,10.8,4.0
q3_origen,10.8,22.6,29.2,27.0,10.5
q4_origen,1.5,12.3,36.1,28.9,21.1
q5_origen,1.0,6.1,10.8,23.5,58.6
