ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
130905,2259.5557559547688,4201.019943237305,7.0,508.54039343716636,8443.887451171875,8.0,-77.49378867518655,-1751.0153625176024
080913,1154.6365658801797,8391.227416992188,8.0,265.3030940303367,8185.172225952148,8.0,-77.02280510854114,-889.3334718498429
130503,2574.4175387059363,10873.255737304688,16.0,632.5680679133634,7065.8726806640625,12.0,-75.42869179521936,-1941.849470792573
130613,1379.5071822189834,13887.963836669922,14.0,347.06757866673007,7505.677734375,7.0,-74.84119088757042,-1032.4396035522534
160507,958.7376439679991,3058.817008972168,7.0,265.3278267733068,3744.2396240234375,8.0,-72.32529373988335,-693.4098171946923
120423,1124.311957225147,6170.169479370117,8.0,326.3872504045975,9117.069442749023,8.0,-70.97004543026154,-797.9247068205493
160801,1936.8658706944625,6176.005859375,5.0,571.900962915386,9304.782440185547,9.0,-70.47286693578161,-1364.9649077790764
130908,1391.019050681732,5404.809814453125,8.0,434.7115230680817,6073.895324707031,8.0,-68.74870097177809,-956.3075276136503
130611,1969.8349211113443,7473.269348144531,8.0,641.2939371093136,8082.846008300781,8.0,-67.44428021676521,-1328.5409840020307
200608,2372.1894160961165,8895.558135986328,6.0,793.1605595429074,12858.694030761719,7.0,-66.56419786037988,-1579.0288565532092
050106,1184.345664440768,3858.5625,7.0,428.0617906555128,4015.7562713623047,8.0,-63.8566844538889,-756.2838737852551
021406,1937.6506054900897,4420.951629638672,8.0,739.2959584468322,4017.8743286132812,8.0,-61.845755042104614,-1198.3546470432575
050610,1505.6021970001423,3319.3020629882812,8.0,586.1888113687708,4344.3284912109375,8.0,-61.066155951636446,-919.4133856313715
160502,786.1941721431184,5300.993408203125,8.0,310.7471662165268,3592.7371978759766,5.0,-60.47450143652826,-475.4470059265916
130504,542.7190527243569,7106.2457275390625,8.0,229.1850572639416,6583.089111328125,8.0,-57.77095789921658,-313.53399546041527
040119,1451.5585284464967,3190.1627502441406,8.0,620.6704116578616,1658.3995056152344,3.0,-57.24110330417594,-830.8881167886351
080503,1083.6133647214215,6149.937927246094,8.0,483.51725547779523,5944.4818115234375,7.0,-55.379172016570756,-600.0961092436262
010301,1360.80246000523,793.8560180664062,5.0,618.5498823765812,3780.694480895996,15.0,-54.545211332568876,-742.2525776286487
100902,3073.97042461173,1677.7569580078125,6.0,1403.3536983806582,9380.313117980957,22.0,-54.3471958238533,-1670.6167262310717
130904,1209.6765124361657,8048.5810546875,8.0,571.2337706340402,6217.5738525390625,6.0,-52.777972890981125,-638.4427418021255
210210,710.2484902124344,8983.60400390625,8.0,338.88769679219735,7142.3089599609375,8.0,-52.28603770902258,-371.36079342023703
090105,1407.236014966552,2766.3279571533203,8.0,671.9206072129232,3206.5669555664062,8.0,-52.25245800514182,-735.3154077536287
120810,2800.582183444398,12823.928833007812,6.0,1364.6170405122252,14207.6494140625,6.0,-51.27380840386904,-1435.965142932173
050203,1208.1844405611916,3962.251510620117,8.0,589.0726527787285,6536.232681274414,16.0,-51.24315187297817,-619.1117877824631
200410,1122.449051161609,12411.509033203125,16.0,563.0231979141535,10831.367797851562,16.0,-49.839754656882874,-559.4258532474556
140303,1746.2116529690811,5682.300109863281,6.0,877.0336985481404,15799.297485351562,14.0,-49.775063231486214,-869.1779544209408
151008,1394.3130187783484,1655.436538696289,8.0,701.1846058127193,2352.4127197265625,8.0,-49.71110529921937,-693.1284129656291
210305,657.554050712695,16754.166870117188,5.0,331.34964526712776,19483.00439453125,6.0,-49.608759172270034,-326.20440544556726
030604,1349.6421909851588,12342.340270996094,20.0,683.8023070467559,17174.44956970215,22.0,-49.334548696375535,-665.8398839384029
021014,1911.0547088198878,4822.8563232421875,8.0,981.4570713000702,6441.26953125,8.0,-48.6431724444907,-929.5976375198176
130501,1355.9216236890838,10994.022369384766,13.0,699.1965133875634,10165.008087158203,11.0,-48.433854791308285,-656.7251103015204
051105,698.6248630452543,5128.537094116211,14.0,361.83355888904345,4706.355865478516,14.0,-48.207746670818786,-336.79130415621086
200604,1357.1795962054396,4365.8975830078125,8.0,720.0511679768391,7370.679977416992,8.0,-46.945034394118366,-637.1284282286005
230302,3338.856222411892,4689.394025802612,25.0,1795.5659046624692,8387.860220909119,67.0,-46.222125630632725,-1543.2903177494227
