,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,57.5,20.6,17.1,3.1,1.6
q2_origen,25.9,31.7,23.3,14.8,4.4
q3_origen,11.1,30.4,33.9,14.7,9.9
q4_origen,6.3,13.4,18.1,32.8,29.4
q5_origen,1.1,5.1,10.2,32.5,51.0
