ym,tasa_desempleo,fuente
200907,8.2,microdatos EPE (rep. INEI/BCRP 0.00pp)
200908,8.3,microdatos EPE (rep. INEI/BCRP 0.00pp)
200909,7.83,microdatos EPE (rep. INEI/BCRP 0.00pp)
200910,7.63,microdatos EPE (rep. INEI/BCRP 0.00pp)
200911,7.22,microdatos EPE (rep. INEI/BCRP 0.00pp)
200912,7.91,microdatos EPE (rep. INEI/BCRP 0.00pp)
201001,8.61,microdatos EPE (rep. INEI/BCRP 0.00pp)
201002,9.59,microdatos EPE (rep. INEI/BCRP 0.00pp)
201003,9.18,microdatos EPE (rep. INEI/BCRP 0.00pp)
201004,9.0,microdatos EPE (rep. INEI/BCRP 0.00pp)
201005,7.74,microdatos EPE (rep. INEI/BCRP 0.00pp)
201006,7.59,microdatos EPE (rep. INEI/BCRP 0.00pp)
201007,7.04,microdatos EPE (rep. INEI/BCRP 0.00pp)
201008,7.4,microdatos EPE (rep. INEI/BCRP 0.00pp)
201009,7.64,microdatos EPE (rep. INEI/BCRP 0.00pp)
201010,7.86,microdatos EPE (rep. INEI/BCRP 0.00pp)
201011,7.59,microdatos EPE (rep. INEI/BCRP 0.00pp)
201012,7.16,microdatos EPE (rep. INEI/BCRP 0.00pp)
201101,7.68,microdatos EPE (rep. INEI/BCRP 0.00pp)
201102,9.12,microdatos EPE (rep. INEI/BCRP 0.00pp)
201103,9.39,microdatos EPE (rep. INEI/BCRP 0.00pp)
201104,8.81,microdatos EPE (rep. INEI/BCRP 0.00pp)
201105,7.35,microdatos EPE (rep. INEI/BCRP 0.00pp)
201106,7.3,microdatos EPE (rep. INEI/BCRP 0.00pp)
201107,6.97,microdatos EPE (rep. INEI/BCRP 0.00pp)
201108,7.02,microdatos EPE (rep. INEI/BCRP 0.00pp)
201109,7.31,microdatos EPE (rep. INEI/BCRP 0.00pp)
201110,7.32,microdatos EPE (rep. INEI/BCRP 0.00pp)
201111,7.05,microdatos EPE (rep. INEI/BCRP 0.00pp)
201112,6.99,microdatos EPE (rep. INEI/BCRP 0.00pp)
201201,7.75,microdatos EPE (rep. INEI/BCRP 0.00pp)
201202,8.31,microdatos EPE (rep. INEI/BCRP 0.00pp)
201203,8.66,microdatos EPE (rep. INEI/BCRP 0.00pp)
201204,8.05,microdatos EPE (rep. INEI/BCRP 0.00pp)
201205,7.22,microdatos EPE (rep. INEI/BCRP 0.00pp)
201206,6.29,microdatos EPE (rep. INEI/BCRP 0.00pp)
201207,6.21,microdatos EPE (rep. INEI/BCRP 0.00pp)
201208,6.66,microdatos EPE (rep. INEI/BCRP 0.00pp)
201209,6.6,microdatos EPE (rep. INEI/BCRP 0.00pp)
201210,6.22,microdatos EPE (rep. INEI/BCRP 0.00pp)
201211,5.91,microdatos EPE (rep. INEI/BCRP 0.00pp)
201212,5.64,microdatos EPE (rep. INEI/BCRP 0.00pp)
201301,6.13,microdatos EPE (rep. INEI/BCRP 0.00pp)
201302,6.4,microdatos EPE (rep. INEI/BCRP 0.00pp)
201303,6.39,microdatos EPE (rep. INEI/BCRP 0.00pp)
201304,5.61,microdatos EPE (rep. INEI/BCRP 0.00pp)
201305,5.67,microdatos EPE (rep. INEI/BCRP 0.00pp)
201306,5.78,microdatos EPE (rep. INEI/BCRP 0.00pp)
201307,6.03,microdatos EPE (rep. INEI/BCRP 0.00pp)
201308,5.56,microdatos EPE (rep. INEI/BCRP 0.00pp)
201309,5.94,microdatos EPE (rep. INEI/BCRP 0.00pp)
