,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,49.8,25.1,19.7,4.5,0.9
q2_origen,30.6,30.0,21.4,15.7,2.3
q3_origen,18.3,23.5,23.5,24.0,10.7
q4_origen,8.7,11.7,16.7,40.1,22.9
q5_origen,1.4,5.4,15.2,18.4,59.5
