i01,i02,i03,i04,i05,i06,i07,i08,year
0.7486738770521582,0.8153731756596179,1.3337983748582356,1.0876490077152354,1.3391262420456758,1.4999344390641922,1.5047800060543062,1.2204404216786786,2004
0.765926561788496,0.8521330608231228,1.3636144208661596,1.0444620778388205,1.2804416102864726,1.5403627787888636,1.4128414994295162,1.2013510245401364,2005
0.7686711146902118,0.8450090309040205,1.3474148159663184,1.0448800346138496,1.2533020450475905,1.5054413837121192,1.394188517922228,1.216701633817792,2006
0.7527523485385511,0.8983609360562329,1.3038327306140085,1.0904113155538444,1.2600824506994455,1.497318199376275,1.4332460698566654,1.242789744804182,2007
0.7777546284736,0.8687708866252273,1.274926902261211,1.0606030413459475,1.1790851137038914,1.4337435408368049,1.3804488137751347,1.2155803026053178,2008
0.7637343445305634,0.8852569423717058,1.2700897253938428,1.07140672058307,1.2074400295609176,1.4347202275279667,1.3785139735211116,1.2151401230453904,2009
0.761221449219807,0.8165465420940456,1.2754836910834444,1.1131304546609757,1.2389397964560178,1.396955256380176,1.3683283647128242,1.2538691638803399,2010
0.7658434087131368,0.7749383330635147,1.2753713405105325,1.0394262162351375,1.2341097157369032,1.387924321602557,1.3819920885552524,1.1972269012793642,2011
0.7370827461698493,0.8516762817576788,1.2738328234862573,1.0691648966310603,1.2907688868267055,1.4209546118630774,1.3749895337001472,1.2083470814664141,2012
0.753768951298724,0.7846007185147047,1.2938436877532227,1.0249743380282983,1.2065754433868991,1.410795426402963,1.3488924601767767,1.1851427657554812,2013
0.7390790293709901,0.804691795869386,1.3161226752990323,1.038885150492582,1.2261238823478233,1.4029392704158732,1.327656704318493,1.181081637768712,2014
0.7363503330441215,0.831664366203793,1.327789576518276,1.0458403252674286,1.234510811335802,1.406824801648412,1.3195248707468086,1.1752653208132227,2015
0.7241011494773959,0.8490138115891351,1.3269663673854106,1.0471830409941947,1.2184963201174361,1.3822228051379328,1.3657975454371207,1.1897984152079544,2016
0.7102753982925712,0.850535458841413,1.3182533745141463,1.0539940617075192,1.2645923443014628,1.4018693571338348,1.33686959513097,1.1950975892010531,2017
0.7138427330470021,0.8455148292792436,1.2952349700647598,1.0718272475838346,1.2889856884597806,1.3768692381484207,1.336911167997141,1.1956196521705935,2018
0.70275286873836,0.8819882331715201,1.2903095976752799,1.114125886384812,1.2857246532051487,1.3866802235777835,1.3717226096777373,1.1763664444679125,2019
0.7550961443840193,1.0371187333650838,1.1870834464041817,0.971755258959487,1.2948038009711438,1.3918029230682285,1.3338305352126103,1.0804657151111676,2020
0.7420368013895269,0.8137260754641386,1.252642558731629,0.93809886492531,1.485470934896055,1.2529071041800401,1.3901185166348236,1.0454806192805417,2021
0.7440565556549554,0.905100068936669,1.2230006908717437,0.9270168847916627,1.4734620363371163,1.255498884907384,1.3475519165263872,1.1440965219571517,2022
0.7272623584104205,0.9340877176019242,1.218910533214987,0.9643238728298523,1.4417438926213353,1.2953549278300516,1.3376574197845676,1.2078449235325206,2023
0.7233216923102698,0.9319532948488366,1.2003903434791066,0.9946475991224032,1.4257559610956165,1.3031041910603387,1.3564925461503055,1.2511238902120922,2024
0.7277812560045249,0.9228016854152208,1.2229080301736308,1.0344782107926076,1.3512050795098771,1.2593438330279378,1.3722376547251767,1.2491878231530862,2025
