,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,60.1,27.7,8.1,3.2,0.9
q2_origen,23.0,30.5,22.6,16.7,7.2
q3_origen,13.4,26.2,33.1,19.3,8.0
q4_origen,2.9,15.8,29.6,31.2,20.5
q5_origen,0.7,3.2,4.8,30.1,61.2
