ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
200612,7.44,5.79,9.43,14.07,5.55,4.49,69.8,78.94,61.27,894.0,EPE legacy
200701,8.96,7.74,10.46,16.57,7.04,4.74,70.1,79.83,61.01,882.0,EPE legacy
200702,9.49,7.89,11.44,16.13,7.84,5.53,70.5,80.3,61.34,870.0,EPE legacy
200703,9.75,8.67,11.09,16.5,7.85,6.3,70.15,80.15,60.8,889.0,EPE legacy
200704,9.02,7.43,10.98,14.79,7.33,6.35,69.34,79.28,60.06,870.0,EPE legacy
200705,8.53,7.46,9.87,14.7,6.76,5.94,68.85,79.25,59.14,876.0,EPE legacy
200706,8.29,7.03,9.86,13.61,6.8,5.96,68.94,79.06,59.49,865.0,EPE legacy
200707,7.93,6.88,9.22,12.78,6.26,6.55,69.45,79.03,60.51,877.0,EPE legacy
200708,7.92,6.49,9.66,12.92,6.11,6.52,68.98,78.56,60.04,879.0,EPE legacy
200709,8.16,6.86,9.75,14.2,6.09,6.25,68.54,78.17,59.54,885.0,EPE legacy
200710,7.93,6.49,9.71,14.31,5.97,5.53,68.1,78.09,58.77,889.0,EPE legacy
200711,7.93,6.76,9.38,13.7,5.93,6.42,67.38,77.5,57.93,908.0,EPE legacy
200712,7.45,6.44,8.7,12.97,5.4,6.3,67.8,77.57,58.68,914.0,EPE legacy
200801,8.1,6.69,9.84,14.48,5.64,6.68,67.74,77.42,58.69,937.0,EPE legacy
200802,8.96,7.08,11.29,16.61,6.24,6.47,68.54,78.53,59.22,954.0,EPE legacy
200803,9.29,7.14,11.93,17.19,6.48,6.72,69.15,78.84,60.1,991.0,EPE legacy
200804,9.0,7.1,11.31,16.13,6.57,6.54,69.32,78.89,60.38,1004.0,EPE legacy
200805,8.1,6.43,10.13,13.85,6.36,5.88,69.07,78.35,60.41,1000.0,EPE legacy
200806,7.9,6.14,10.06,13.76,6.22,5.54,68.79,78.45,59.76,999.0,EPE legacy
200807,8.12,6.33,10.29,14.76,6.05,5.76,68.93,78.43,60.07,1009.0,EPE legacy
200808,8.38,6.53,10.65,16.47,5.71,5.75,68.57,78.33,59.46,1013.0,EPE legacy
200809,8.52,6.33,11.24,16.65,5.82,5.82,67.71,77.6,58.46,1002.0,EPE legacy
200810,7.91,5.83,10.52,15.7,5.54,4.78,67.22,77.45,57.65,997.0,EPE legacy
200811,7.66,6.0,9.72,14.92,5.76,4.23,67.31,77.2,58.07,1015.0,EPE legacy
200812,7.78,6.32,9.61,15.69,5.77,4.03,66.67,76.66,57.34,1028.0,EPE legacy
200901,8.81,7.46,10.48,17.67,6.62,4.39,66.57,76.18,57.59,1046.0,EPE legacy
200902,9.31,7.75,11.21,19.0,6.44,5.32,67.08,76.41,58.37,1069.0,EPE legacy
200903,9.31,7.82,11.11,18.21,6.92,5.09,68.12,77.09,59.75,1060.0,EPE legacy
