ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
202311,6.56,5.11,8.19,12.99,5.32,5.71,65.89,73.4,59.12,1916.0,EPEN moderno
202312,6.39,5.17,7.76,13.98,4.94,5.41,65.9,73.74,58.83,1928.0,EPEN moderno
202401,7.18,5.94,8.59,15.9,5.55,5.72,65.94,74.07,58.61,1926.0,EPEN moderno
202402,7.29,6.5,8.21,16.1,5.85,5.47,66.14,74.76,58.39,1982.0,EPEN moderno
202403,7.71,6.83,8.71,15.48,6.21,6.24,66.68,75.26,58.96,1979.0,EPEN moderno
202404,7.69,6.74,8.77,14.41,6.27,6.71,66.96,75.19,59.56,2006.0,EPEN moderno
202405,7.22,6.36,8.18,14.73,6.06,5.76,66.42,74.42,59.22,2007.0,EPEN moderno
202406,6.64,6.04,7.3,14.3,5.61,5.03,66.51,73.9,59.86,1991.0,EPEN moderno
202407,5.96,5.22,6.79,13.3,4.72,4.87,66.0,73.74,59.03,1998.0,EPEN moderno
202408,6.07,5.47,6.75,13.17,4.66,5.25,65.76,74.65,57.76,2007.0,EPEN moderno
202409,5.93,4.98,7.06,14.55,4.46,4.77,65.38,74.75,56.96,2055.0,EPEN moderno
202410,5.75,5.18,6.42,14.42,4.38,4.44,65.55,75.19,56.9,2075.0,EPEN moderno
202411,5.67,4.79,6.68,13.97,4.6,4.12,65.99,74.78,58.09,2067.0,EPEN moderno
202412,5.53,4.99,6.15,12.84,4.76,4.03,65.56,74.5,57.54,2114.0,EPEN moderno
202501,6.15,5.54,6.87,16.14,5.01,4.09,64.69,73.63,56.66,2126.0,EPEN moderno
202502,6.3,5.39,7.36,17.09,5.0,4.08,64.56,73.59,56.46,2134.0,EPEN moderno
202503,6.56,5.29,8.03,16.45,5.36,4.52,64.42,73.43,56.34,2114.0,EPEN moderno
202504,6.06,4.46,7.87,13.68,5.5,4.22,64.99,73.4,57.52,2100.0,EPEN moderno
202505,5.59,4.83,6.48,12.61,5.11,3.95,64.09,73.36,55.79,2155.0,EPEN moderno
202506,6.37,5.6,7.29,16.93,4.72,5.0,64.07,73.36,55.74,2172.0,EPEN moderno
202507,6.06,5.52,6.69,16.36,4.35,4.86,64.6,73.91,56.26,2212.0,EPEN moderno
202508,5.99,5.37,6.72,15.6,4.18,5.13,65.03,74.5,56.55,2250.0,EPEN moderno
202509,5.75,4.24,7.51,13.94,4.64,4.54,65.26,74.32,57.16,2294.0,EPEN moderno
202510,5.94,4.5,7.6,16.22,4.66,4.32,65.71,74.77,57.61,2311.0,EPEN moderno
202511,5.93,4.61,7.42,16.38,4.61,4.36,66.39,74.79,58.87,2243.0,EPEN moderno
202512,4.99,5.02,4.95,13.94,3.95,3.54,66.48,75.91,58.04,2291.0,EPEN moderno
202604,5.32,4.14,6.67,11.28,4.21,4.76,65.6,74.43,57.71,2257.0,EPEN moderno
202605,4.98,3.56,6.6,11.01,3.87,4.49,65.47,73.99,57.86,2317.0,EPEN moderno
202606,4.91,3.75,6.25,9.41,3.63,5.1,65.38,74.09,57.61,2344.0,EPEN moderno
