from,to,gana_sis,pierde_sis
2007,2008,16.67860679096262,12.320273224416493
2008,2009,13.244678368450339,13.190836065446337
2009,2010,12.247927841206547,16.91741772347102
2010,2011,9.444270924011983,20.679844824709246
