year,Vaso de leche,Comedor popular,Club de madres,APAFA (padres de familia),Ronda campesina,Agrupacion/partido politico
2004,17.175235402998915,2.3883407733194773,1.8324505896078103,2.25412655608316,3.937419646246818,1.2572774796841466
2006,15.48793645962828,2.3331165208739155,1.0324925002477687,1.5639508667394275,3.6511718933137436,1.4834552483155161
2011,11.505503550633328,1.6725213338608012,0.7679263281919785,1.8876561661458517,2.9710861772743797,1.5255336172822103
2013,7.386983916125596,1.2425360196702384,0.5199094030311238,2.3853257895720135,3.1980488738887334,0.9259155255353696
2014,6.7065805990998,1.1360061022545065,0.3370004131354103,1.9777565284190577,3.115428745939356,1.4502780723204411
2015,6.756008662802823,0.9943009255970028,0.4365032318134058,2.2055619547457406,3.1582010014425768,0.7876321811984089
2016,6.110274749579064,1.051691474075484,0.2632872101356354,2.0110046434978552,2.9946013607878927,0.6953320183626289
2017,5.758268926766486,0.9818069010506207,0.14008025823183357,1.8851310224912945,2.851638359919778,0.6386086882260755
2018,5.361676271876262,0.8891681661831333,0.16244924742132633,2.0003824766277356,2.645779675117999,0.8631163184515548
2019,5.28013983007426,0.7958757496510125,0.09681403694466159,2.4227753381383117,2.6759661548298563,0.44547382060949137
2020,5.152588138924128,0.8676174397938559,0.09582273006994468,1.8088032938429774,2.4453829572191665,0.4241887027852576
2021,4.995214689473299,1.1874966013228703,0.1615667805629494,1.531668212706277,2.4958718469078236,0.3202483402411232
2022,5.257134542996148,1.4349713694625819,0.11189399192107347,1.7991205029232349,2.3204575467925936,0.6634425501234416
2023,5.451235508930987,1.5294678335885006,0.11108094401098567,1.6185166283244918,2.4715915312171743,0.36255235236976513
2024,4.825701909708877,1.4995406736324801,0.13153952886418832,1.69800300811434,2.4050568433683184,0.317487047384297
2025,4.159215707824818,1.5367506829150213,0.11042421174624323,1.508276926973552,2.3461294456078274,0.35139526698090817
