from,to,gana_sis,pierde_sis
2012,2013,11.298450838679162,15.767440488746775
2013,2014,11.740658452102258,11.405195004354297
2014,2015,10.360605859902522,13.092012932114205
2015,2016,12.833335924028177,12.862053108246085
