year,Urbano,Rural
2004,30.376177506233958,5.2251099203065134
2005,29.55557139679398,4.990910168901588
2006,31.527105425762368,5.1780438820412575
2007,33.92150374811745,5.474658560826153
2008,34.31435315833496,5.195829160985332
2009,35.286209293791856,5.798943767974318
2010,34.67006731126689,5.570039924528245
2011,34.67584671411294,5.718613666692866
2012,35.46512768173547,5.967507265580353
2013,34.512720346674904,5.926546551647389
2014,33.398354257104536,5.772240879584934
2015,33.00574159067284,5.7264819520571795
2016,34.17463953026647,6.057082662180649
2017,34.015462091518884,5.8230986888780185
2018,34.39319371777311,5.753376403693512
2019,35.7762993263923,5.863071026235682
2020,33.04776762948718,6.59110046730514
2021,32.61847740025621,6.924650002306874
2022,33.48367235246392,7.2025497645179515
2023,34.50895151747009,7.8677518957127655
2024,35.007266546551776,7.837732437602979
2025,34.5654551096391,7.4742479758314815
