from,to,gana_sis,pierde_sis
2018,2019,11.484174491898441,12.085807224186578
2019,2020,13.603102745691118,11.189707283344637
2020,2021,17.33388767469956,11.38277432246597
2021,2022,19.365497134492905,13.537632619622958
