cohorte,Hombres,Mujeres,n
1960,9.568743473934681,7.7011873697429625,5423
1965,9.891255845046771,8.278249357037824,6062
1970,10.28491521940364,9.038573072288804,6393
1975,10.545474636427718,9.44383690829074,6659
1980,10.811690962152076,10.054761836496404,6925
1985,11.190942122029123,10.749858552060523,6980
1990,11.950369181386257,11.515251736527318,6358
1995,12.568302024489716,12.414375803584374,6069
2000,12.602286308720528,13.176663427965101,1354
