year,prev,emp_dis,emp_nodis,poor_dis,poor_nodis
2016,2.652061511309575,58.95153305008384,83.76940526760917,21.015499064246068,17.37501227232787
2017,3.1540595172047756,58.10849868539481,84.2703876510499,21.64049600938858,18.252519284887196
2018,3.0400897835200205,61.01494588105576,84.08323822580797,23.07171461762947,17.47734857934406
2019,2.950946499083583,58.31575997039473,84.13614162884653,23.30911606228547,17.205736430063116
2020,2.821996192160639,47.280759109734205,71.91520657159947,28.98566547390148,27.658351143065907
2021,3.159310358325636,55.64072182553994,80.94859967810997,26.1714172704752,22.94783736324885
2022,3.1987826413767473,55.238311991254605,83.22323207929438,32.006203169487925,24.213692975438825
2023,3.6467238655618592,56.987691499203486,82.02924518358948,27.318764202186163,26.650687822284283
2024,3.5771223386033433,52.421321528901565,82.19669773539637,29.32513015019167,24.997268812122943
2025,3.6811357095839004,53.23375336924196,82.52211049506484,29.706260286247385,23.1250641992686
