from,to,informalizacion,formalizacion
2011,2012,12.409201468275704,12.695972380401429
2012,2013,21.10274901878199,10.5357222170201
2013,2014,17.187961976629605,9.679001633239839
2014,2015,18.803651164990505,8.977408311903257
