dpto,department,castillo_pct,left_pct,income21,income25,social_idx
1,AMAZONAS,66.71438718593933,64.46076290217319,1036.3342935286469,1121.4648416682953,2.103472058961637
2,ANCASH,58.38779334044716,56.600075288497735,1127.4804150015261,1202.7849310293425,1.5262831519144298
3,APURIMAC,81.4653520863511,81.16152814720668,1000.7873397082396,1075.5258863920617,2.395425194071256
4,AREQUIPA,64.84029989299495,63.59355415508945,1481.4110405657468,1697.2492064577987,0.7128526108537291
5,AYACUCHO,82.63747154559672,79.31722620826643,945.7760464562642,1000.437400270292,1.8289605187930118
6,CAJAMARCA,71.28006006770201,66.76633412496996,934.345649941511,940.5029274885961,1.96375800186031
7,CALLAO,32.57549276867811,78.13498890269415,1150.0148602603106,1207.3955577196236,0.38528089173735747
8,CUSCO,83.19810415690037,81.40155852578458,971.0467494192278,1087.0195166250166,1.3640089920272502
9,HUANCAVELICA,84.80982959385089,64.14026336586917,721.0462709599739,822.3646420291395,2.1592070352340142
10,HUANUCO,67.70502443999948,48.08323233070881,942.7011349635762,913.1712220803872,2.254777318070174
11,ICA,47.52279226651675,54.939062379682326,1424.9474134319,1477.1928258352266,0.8066259283038886
12,JUNIN,58.15450171780994,42.46599753963601,1093.0226007556714,1284.0902620700106,1.3167073401423386
13,LA LIBERTAD,39.99669603861148,41.151865978044775,1342.0969121983958,1300.2022520280004,1.1849884288141643
14,LAMBAYEQUE,41.81587301587302,36.49275124644476,1204.9618987051242,1205.0865751087247,0.8246705192550617
15,LIMA,35.35797744066451,47.040106630321496,1339.3801090645916,1435.5219201435132,0.3587721370121155
16,LORETO,48.200608462252205,69.20579182840281,800.2174844852494,913.0533235422117,2.2696967657568847
17,MADRE DE DIOS,71.0595723077304,72.56883903016745,1266.8646240276944,1292.1536801349448,0.9882550553247114
18,MOQUEGUA,73.1348435030609,60.79607077561898,1770.157419294478,1839.1918148727004,0.8167153327276321
19,PASCO,65.35382139730069,43.025127827393455,834.8272417448712,991.2792139473651,2.0216292962138662
20,PIURA,39.94935720632573,86.42159283796289,1138.3728322277732,1129.6094876987993,1.7320964140498007
21,PUNO,89.25592079076556,54.62399367602089,787.3718383805613,926.3376048289163,1.3399720265052442
22,SAN MARTIN,56.11828269331319,71.36472473068388,1092.3641589478623,1255.6024919462698,1.925066117453768
23,TACNA,72.56528490095516,35.66062471052776,1180.2501865786826,1311.5911249746198,0.7745749390322155
24,TUMBES,34.11888618260812,34.4275720416011,1184.0008837166654,1093.9426575886828,1.205976338664477
25,UCAYALI,48.17782835497233,47.44120155868947,888.3624111656809,961.4147442981254,1.6883957943071288
