from,to,informalizacion,formalizacion
2013,2014,16.91618685193771,9.12638963839095
2014,2015,18.840335457419247,10.352930605268071
2015,2016,19.403952381297067,11.633301774695893
2016,2017,15.016813537855137,8.513387085642512
