indicador,between,within,n_depto,n_obs
Adultos mayores (60+),0.13499100156187338,-0.24388814213452242,25,550
Lengua indigena,0.4000063706220951,0.29241922031107703,25,550
Analfabetismo,0.8027872977037505,0.331611941177603,25,550
Afiliacion SIS,0.8312181184994112,0.10772909471131734,25,550
Anios de educacion (25+),-0.8691194328268967,-0.33087348937596583,25,550
Ingreso real pc,-0.8901568585421971,-0.6234382385950298,25,550
