trim_start,trim_label,anio,n,pet,pea,ocupados,desocupados,tasa_actividad,tasa_desempleo,ratio_empleo_pob,tasa_informalidad_proxy,ing_lab_prom,tasa_desempleo_h,tasa_actividad_h,tasa_desempleo_m,tasa_actividad_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor
201605,2016 May-Jun-Jul,2016,13827,7479552,5088140,4726823,361317,68.03,7.1,63.2,34.52,1633.0,6.62,77.13,7.68,59.52,17.27,4.97,2.61
201606,2016 Jun-Jul-Ago,2016,13862,7491868,5080204,4734241,345963,67.81,6.81,63.19,34.71,1653.0,6.43,76.9,7.27,59.32,16.31,4.79,2.71
201607,2016 Jul-Ago-Set,2016,13930,7503106,5065974,4736289,329684,67.52,6.51,63.12,34.67,1645.0,6.2,76.52,6.88,59.12,15.45,4.75,2.19
201608,2016 Ago-Set-Oct,2016,13700,7514361,5099796,4783692,316104,67.87,6.2,63.66,35.02,1697.0,5.65,76.46,6.85,59.84,14.55,4.48,2.5
201609,2016 Set-Oct-Nov,2016,13758,7534615,5126385,4827232,299153,68.04,5.84,64.07,34.92,1732.0,5.44,76.38,6.3,60.25,14.29,3.97,2.46
201610,2016 Oct-Nov-Dic,2016,13684,7538962,5198068,4873502,324567,68.95,6.24,64.64,35.36,1715.0,5.75,77.33,6.83,61.13,15.96,3.99,2.49
201611,2016 Nov-Dic-Ene,2016,13634,7543309,5206190,4831576,374613,69.02,7.2,64.05,35.16,1680.0,6.54,77.95,7.98,60.69,17.77,4.52,3.05
201612,2016 Dic-Ene-Feb,2016,13510,7552292,5208036,4805054,402982,68.96,7.74,63.62,35.36,1652.0,7.06,78.31,8.56,60.24,18.48,4.96,3.53
201701,2017 Ene-Feb-Mar,2017,13383,7560697,5186233,4785089,401144,68.59,7.73,63.29,35.2,1674.0,7.06,77.82,8.55,60.0,18.58,4.95,3.43
201702,2017 Feb-Mar-Abr,2017,13470,7569391,5185085,4831510,353575,68.5,6.82,63.83,35.16,1642.0,6.15,77.46,7.63,60.16,16.16,4.65,2.93
201703,2017 Mar-Abr-May,2017,13368,7578374,5150152,4810092,340060,67.96,6.6,63.47,35.05,1634.0,5.97,76.96,7.36,59.59,16.06,4.52,2.77
201704,2017 Abr-May-Jun,2017,13334,7587069,5171150,4813029,358122,68.16,6.93,63.44,34.57,1636.0,6.19,77.31,7.82,59.65,15.7,5.07,3.17
201705,2017 May-Jun-Jul,2017,13312,7596051,5192248,4825589,366659,68.35,7.06,63.53,35.15,1673.0,6.12,77.21,8.18,60.12,15.99,5.2,3.22
201706,2017 Jun-Jul-Ago,2017,13313,7604745,5251031,4900464,350567,69.05,6.68,64.44,35.05,1681.0,5.9,77.15,7.57,61.52,15.22,4.85,2.91
201707,2017 Jul-Ago-Set,2017,13386,7613728,5230328,4894139,336190,68.7,6.43,64.28,35.57,1653.0,5.48,76.38,7.52,61.56,14.59,4.75,2.92
201708,2017 Ago-Set-Oct,2017,13379,7622712,5194074,4872031,322043,68.14,6.2,63.91,35.67,1660.0,5.74,76.18,6.74,60.68,14.26,4.55,2.92
201709,2017 Set-Oct-Nov,2017,13421,7631406,5188612,4848187,340424,67.99,6.56,63.53,36.48,1696.0,6.04,76.09,7.17,60.48,14.9,5.07,2.95
201710,2017 Oct-Nov-Dic,2017,13324,7640390,5241572,4903231,338341,68.6,6.45,64.18,36.68,1708.0,5.95,76.7,7.04,61.09,15.02,4.78,3.01
201711,2017 Nov-Dic-Ene,2017,13342,7649082,5235346,4853096,382249,68.44,7.3,63.45,35.63,1704.0,6.76,76.73,7.93,60.77,18.5,4.65,3.25
201712,2017 Dic-Ene-Feb,2017,13371,7658066,5252038,4830448,421590,68.58,8.03,63.08,35.61,1675.0,7.03,77.25,9.2,60.55,19.57,5.13,3.71
201801,2018 Ene-Feb-Mar,2018,13437,7666471,5221199,4800255,420944,68.1,8.06,62.61,35.39,1687.0,7.13,76.66,9.16,60.19,19.39,5.5,3.41
201802,2018 Feb-Mar-Abr,2018,13400,7675164,5237212,4853581,383631,68.24,7.33,63.24,35.71,1680.0,5.93,76.42,8.95,60.67,15.64,6.02,3.13
201803,2018 Mar-Abr-May,2018,13313,7684147,5201307,4856137,345170,67.69,6.64,63.2,35.37,1650.0,5.44,75.75,8.02,60.24,13.87,5.73,2.88
201804,2018 Abr-May-Jun,2018,13192,7692841,5182323,4859863,322460,67.37,6.22,63.17,36.32,1652.0,4.88,76.16,7.82,59.24,12.97,5.34,2.98
201805,2018 May-Jun-Jul,2018,13310,7701825,5215318,4893594,321724,67.72,6.17,63.54,37.5,1671.0,4.88,76.38,7.69,59.72,13.5,5.02,2.93
201806,2018 Jun-Jul-Ago,2018,13294,7710519,5239166,4920381,318785,67.95,6.08,63.81,37.43,1721.0,4.61,76.48,7.82,60.08,14.2,4.65,2.79
201807,2018 Jul-Ago-Set,2018,13381,7719502,5239520,4915626,323894,67.87,6.18,63.68,37.7,1701.0,5.09,76.24,7.46,60.16,14.54,4.63,3.03
201808,2018 Ago-Set-Oct,2018,13210,7728485,5225651,4889867,335784,67.62,6.43,63.27,37.51,1705.0,5.73,76.36,7.25,59.55,16.33,4.35,3.33
201809,2018 Set-Oct-Nov,2018,13201,7737179,5283638,4953490,330148,68.29,6.25,64.02,37.64,1686.0,6.01,76.72,6.52,60.53,14.79,4.41,3.63
201810,2018 Oct-Nov-Dic,2018,13241,7746163,5307644,4982490,325153,68.52,6.13,64.32,37.34,1702.0,5.55,76.65,6.79,61.04,15.07,4.29,3.23
201811,2018 Nov-Dic-Ene,2018,13284,7754856,5276153,4934488,341664,68.04,6.48,63.63,37.82,1674.0,5.81,76.32,7.25,60.42,14.78,4.98,3.24
201812,2018 Dic-Ene-Feb,2018,13382,7763839,5253306,4856216,397089,67.66,7.56,62.55,38.01,1692.0,6.51,76.54,8.8,59.5,17.92,5.43,3.88
201901,2019 Ene-Feb-Mar,2019,13345,7772244,5258681,4829717,428964,67.66,8.16,62.14,37.15,1716.0,6.76,76.49,9.81,59.55,18.97,6.03,4.07
201902,2019 Feb-Mar-Abr,2019,13338,7780937,5256908,4871468,385440,67.56,7.33,62.61,36.66,1736.0,5.62,76.24,9.35,59.59,18.36,5.21,3.6
201903,2019 Mar-Abr-May,2019,13247,7789920,5217674,4867539,350135,66.98,6.71,62.49,36.78,1723.0,5.35,75.08,8.28,59.54,17.22,5.14,2.82
201904,2019 Abr-May-Jun,2019,13146,7798614,5226757,4897010,329747,67.02,6.31,62.79,37.2,1702.0,5.29,75.42,7.49,59.32,15.24,5.2,2.77
201905,2019 May-Jun-Jul,2019,13130,7807598,5221692,4908218,313474,66.88,6.0,62.86,37.41,1699.0,5.48,74.74,6.61,59.67,13.13,5.31,2.88
201906,2019 Jun-Jul-Ago,2019,13246,7816291,5237259,4932075,305184,67.0,5.83,63.1,37.21,1717.0,4.99,75.16,6.8,59.52,12.89,5.1,2.78
201907,2019 Jul-Ago-Set,2019,13260,7825275,5228040,4927392,300648,66.81,5.75,62.97,37.16,1743.0,4.79,74.73,6.85,59.55,14.21,4.6,2.56
201908,2019 Ago-Set-Oct,2019,13267,7834258,5269768,4931615,338153,67.27,6.42,62.95,36.79,1761.0,5.16,75.58,7.88,59.65,16.87,5.02,2.49
201909,2019 Set-Oct-Nov,2019,13147,7842951,5296938,4961885,335053,67.54,6.33,63.27,35.83,1767.0,5.17,75.67,7.66,60.09,16.34,4.97,2.59
201910,2019 Oct-Nov-Dic,2019,13321,7851936,5340670,5014760,325910,68.02,6.1,63.87,34.77,1782.0,5.02,75.82,7.33,60.88,15.8,4.62,2.73
201911,2019 Nov-Dic-Ene,2019,13372,7862153,5378274,5037343,340932,68.41,6.34,64.07,34.16,1798.0,4.92,76.48,7.97,61.02,15.96,4.66,2.92
201912,2019 Dic-Ene-Feb,2019,13456,7869541,5377708,4997580,380128,68.34,7.07,63.51,33.38,1803.0,5.4,77.0,9.01,60.42,17.63,5.14,3.35
202001,2020 Ene-Feb-Mar,2020,11729,7878321,5230296,4824048,406248,66.39,7.77,61.23,32.22,1731.0,6.57,75.75,9.2,57.84,17.76,6.25,3.63
202002,2020 Feb-Mar-Abr,2020,11738,7885861,4015598,3654879,360719,50.92,8.98,46.35,29.33,1671.0,8.5,58.49,9.57,44.01,18.83,8.19,4.27
202003,2020 Mar-Abr-May,2020,11577,7895178,2934343,2549213,385130,37.17,13.12,32.29,26.24,1584.0,13.72,42.99,12.39,31.85,24.35,13.09,6.54
202004,2020 Abr-May-Jun,2020,13275,7903385,2625262,2197881,427381,33.22,16.28,27.81,27.33,1532.0,16.08,39.06,16.53,27.88,33.38,16.28,7.58
202005,2020 May-Jun-Jul,2020,13268,7911258,3509998,2935311,574688,44.37,16.37,37.1,32.27,1505.0,16.26,52.1,16.52,37.31,32.6,15.23,9.36
202006,2020 Jun-Jul-Ago,2020,13446,7920132,4277052,3611283,665768,54.0,15.57,45.6,34.21,1550.0,14.96,63.23,16.34,45.58,31.74,14.2,9.11
202007,2020 Jul-Ago-Set,2020,13340,7928672,4492589,3749924,742664,56.66,16.53,47.3,34.84,1517.0,16.0,67.19,17.22,47.06,32.61,14.47,11.3
202008,2020 Ago-Set-Oct,2020,13239,7937212,4634208,3872809,761399,58.39,16.43,48.79,34.44,1498.0,15.53,68.38,17.57,49.28,31.48,14.81,10.73
202009,2020 Set-Oct-Nov,2020,13138,7945753,4880975,4142671,738304,61.43,15.13,52.14,35.71,1509.0,13.86,71.43,16.71,52.31,27.54,13.22,10.74
202010,2020 Oct-Nov-Dic,2020,13008,7954293,5055549,4355829,699720,63.56,13.84,54.76,35.06,1557.0,12.27,72.93,15.74,55.01,25.55,12.06,9.25
202011,2020 Nov-Dic-Ene,2020,12856,7962833,5102524,4438583,663941,64.08,13.01,55.74,35.96,1572.0,11.13,73.64,15.29,55.37,24.51,11.1,8.76
202012,2020 Dic-Ene-Feb,2020,12679,7971373,4952937,4235224,717713,62.13,14.49,53.13,34.81,1534.0,12.61,71.92,16.8,53.22,27.8,12.79,8.82
202101,2021 Ene-Feb-Mar,2021,12689,7979913,4859581,4117068,742513,60.9,15.28,51.59,35.49,1549.0,13.15,70.95,17.94,51.74,29.0,13.74,9.22
202102,2021 Feb-Mar-Abr,2021,12670,7988453,4841125,4109483,731642,60.6,15.11,51.44,33.98,1554.0,12.89,70.21,17.85,51.86,29.26,13.74,8.57
202103,2021 Mar-Abr-May,2021,12725,7996993,5011956,4409074,602882,62.67,12.03,55.13,33.01,1557.0,9.99,71.9,14.49,54.28,24.97,10.24,7.18
202104,2021 Abr-May-Jun,2021,12688,8005533,5101528,4574860,526668,63.73,10.32,57.15,33.03,1567.0,8.29,72.73,12.75,55.53,21.57,8.47,6.65
202105,2021 May-Jun-Jul,2021,12751,8014073,5149620,4665986,483635,64.26,9.39,58.22,32.64,1589.0,7.3,73.88,11.92,55.5,19.34,7.48,6.63
202106,2021 Jun-Jul-Ago,2021,12634,8022613,5136164,4646293,489871,64.02,9.54,57.91,31.76,1601.0,7.79,73.72,11.66,55.2,18.54,8.01,6.78
202107,2021 Jul-Ago-Set,2021,12607,8031153,5170938,4655277,515660,64.39,9.97,57.97,29.71,1608.0,8.26,73.33,12.0,56.25,19.92,8.42,6.92
202108,2021 Ago-Set-Oct,2021,12602,8039693,5214918,4714441,500477,64.86,9.6,58.64,28.43,1600.0,8.14,72.91,11.28,57.55,19.02,8.18,6.72
202109,2021 Set-Oct-Nov,2021,12867,8048233,5294223,4812829,481393,65.78,9.09,59.8,29.19,1588.0,7.55,73.71,10.86,58.58,17.24,7.95,6.36
202110,2021 Oct-Nov-Dic,2021,12877,8056773,5326504,4909261,417243,66.11,7.83,60.93,29.29,1615.0,6.64,74.76,9.22,58.25,14.7,6.74,5.58
202111,2021 Nov-Dic-Ene,2021,12775,8065313,5320394,4861858,458536,65.97,8.62,60.28,29.26,1639.0,6.79,75.25,10.79,57.53,15.48,7.88,5.68
202112,2021 Dic-Ene-Feb,2021,12536,8073853,5354760,4878191,476569,66.32,8.9,60.42,27.73,1650.0,6.73,75.78,11.49,57.73,16.4,8.34,5.35
202201,2022 Ene-Feb-Mar,2022,12660,8082393,5432426,4921142,511284,67.21,9.41,60.89,27.46,1647.0,6.79,76.25,12.49,59.01,16.88,9.06,5.59
202202,2022 Feb-Mar-Abr,2022,12668,8090933,5505985,5050978,455007,68.05,8.26,62.43,27.42,1633.0,6.25,76.72,10.59,60.19,15.63,7.47,5.42
202203,2022 Mar-Abr-May,2022,12698,8099473,5510399,5113022,397377,68.03,7.21,63.13,27.7,1668.0,5.58,76.85,9.1,60.04,14.32,6.03,5.14
202204,2022 Abr-May-Jun,2022,12460,8116709,5457631,5087678,369953,67.24,6.78,62.68,27.01,1667.0,5.45,75.95,8.31,59.34,14.04,5.21,5.35
202205,2022 May-Jun-Jul,2022,12500,8138560,5436247,5064901,371346,66.8,6.83,62.23,25.34,1683.0,5.49,75.55,8.39,58.86,14.28,5.39,5.14
202206,2022 Jun-Jul-Ago,2022,12405,8167374,5411689,5015421,396268,66.26,7.32,61.41,23.23,1700.0,6.0,74.92,8.86,58.42,14.04,5.93,6.02
202207,2022 Jul-Ago-Set,2022,12366,8194354,5397078,4982941,414137,65.86,7.67,60.81,21.52,1745.0,6.09,74.77,9.53,57.8,14.99,6.25,6.27
