from,to,informalizacion,formalizacion
2012,2013,21.56336502297857,12.588768407231557
2013,2014,14.75505855507616,9.951475492252323
2014,2015,18.45264044007096,8.676214480604985
2015,2016,11.99571739584393,15.022024558766834
