,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,61.3,25.7,7.9,3.7,1.4
q2_origen,23.1,32.4,29.4,12.9,2.2
q3_origen,9.6,26.6,35.7,21.0,7.1
q4_origen,4.9,16.1,28.0,29.2,21.9
q5_origen,1.8,4.4,7.4,24.2,62.2
