sector,trab,va,va_x_trab
Electr./Agua,11356.76,12767124514.439999,1124187.225444581
Transp./Comunic.,372937.69000000006,54672327132.64,146599.09308882133
Comercio,573728.69,62555276680.83,109032.85432846317
Manufactura,879330.74,75549356305.26001,85916.88299815381
Otros servicios,1141137.9,88725177773.37001,77751.49504137057
Construccion,381611.89,27491133089.25,72039.50875128654
Agro/Pesca,65873.52,4101935409.62,62269.86822049284
Aloj./Restaurantes,164819.40000000002,6975422963.8,42321.613619513235
