dep,Pobreza,Ingreso real pc,Educacion (anios),Analfabetismo,Lengua indigena,Agua dentro,Cocina a gas,Afiliado SIS,Empleo agricola,Independiente,Confianza inst.
01,20.391012381739827,1268.345539281035,7.955454203836729,13.692022642822065,1.7114024716441942,67.3503430238446,62.774087967846945,85.92917455715285,49.76392991883006,39.22317183305922,16.955475449552964
02,22.92518939770439,1361.3872030837417,8.769436842395447,14.20059272276894,28.735016034982465,67.82506213074616,60.855133387703454,74.29573152148966,34.50865017157203,38.08385800203652,12.338112785171743
03,20.895744442449274,1200.8358432302884,7.130708818852835,20.268862780918024,63.21410971167979,77.0290195539386,69.94117550537689,82.83410389902052,55.23651825144964,43.19894381884957,11.345528222690247
04,12.815670482292543,1897.1042401254354,11.172306523265759,7.075983474529249,21.65384165171541,58.850437829071865,70.58381303169632,51.213773104188185,11.533011620109553,30.934275084981216,14.630413373804727
05,33.6777250575885,1079.865186829813,7.590658205373198,17.979968034923125,59.896223691058616,58.50191532596871,56.11046396938214,84.26403217028718,46.18805755097886,40.94300507930797,9.69159461710616
06,41.03625918198515,1026.188311514835,6.934784479758137,16.692560439161216,0.1278512901090569,67.27871571037878,58.283656057933364,83.28250047088885,51.02409588952512,45.735328753438644,14.866625685283113
07,32.149712087782866,1378.1756074425152,11.114682364753925,7.09370002715191,5.293512635025991,71.52679810138254,76.17151936680001,53.68087574330972,0.8950363725813,29.16621901194828,14.960632720644881
08,18.776475813423186,1160.8014509931124,8.307698917844222,16.072222539735318,59.63400538947948,60.010280271641015,64.79349092605793,74.87744660899163,39.505967246921166,43.316595572904156,12.514956924504913
09,34.28106964920182,927.8495220020243,6.9388148428480685,21.342109147458874,62.75508892742218,64.72142734017936,60.82414667324352,87.71271148121936,59.974379249777144,44.114718823996945,8.60654799606352
10,35.66297221204107,1018.8875998331378,6.350035926436921,23.24197353510052,33.07793882188822,52.213799102825874,51.18930359350779,86.50954878169297,53.61610247660427,44.17112118713831,10.136164413136752
11,4.4804824592019115,1678.1007949373845,11.024038207742214,9.467954652780543,5.04038205808428,72.08317595306826,81.21592530895863,50.70644572475008,20.500014956163245,31.79560659610417,14.591049083245075
12,13.461643214038189,1405.4178261220013,9.52682945855266,11.625939449221278,14.071539597896626,65.92363670065367,72.87573789149901,78.36147192328578,35.54843274542439,39.312534971593124,14.36639922904057
13,25.54214315453708,1496.152808418582,9.295010025055813,11.311564412698507,0.1579659285654701,71.4691956494147,71.35572499959589,65.57164479489022,24.057216610612024,35.40187119320826,13.468568904966812
14,14.507224071653063,1358.4268550448876,9.691336407716786,10.15776891691449,1.653545427317737,77.68796672627515,76.06069916926423,70.2992034205209,23.199554455876996,36.77970434929041,19.928341893576935
15,26.331893207970936,1678.4270625856316,11.31734686757629,6.228479146485203,7.991957942287661,64.57454365285056,71.28062026083217,53.827508002454536,3.2690684272042656,30.03695903023786,13.60413304391979
16,40.11232064390508,1087.1332011017673,8.897783038521045,14.966062526254056,3.650365797477293,40.986799572535936,54.2824668022721,75.0793326353335,24.966980355113062,47.61126176440965,18.66666741580862
17,7.3021380791308115,1514.155475394221,9.642909757091333,13.96689119260079,20.312375726186286,57.60899439726159,64.03031673417821,73.06659770261294,21.171367464823295,36.0928878659314,9.970396560748364
18,7.818653883528021,2089.3122959238676,10.65487676804107,8.080962665681495,27.26171648723348,64.95430904255622,65.23920712457003,52.5028404100649,19.47599295502306,32.770857578215576,15.011121104763484
19,36.40479428556064,1115.1326474774803,8.691313928268523,14.956366391480563,15.017702009360523,53.447431950790445,66.24716216118799,73.05071164759575,40.55062479937249,37.898414677137424,10.72046260025606
20,28.0808656744466,1267.193327943187,8.770583173482457,11.426923303864118,0.02692524674720082,68.737085638653,73.10435361138966,72.07149965494692,30.344543936319933,42.199161070486774,20.339416658632455
21,37.46464135349944,1050.3314161111666,8.39468946039214,14.01266013681212,62.196380835412036,31.495619197515378,48.77942050413491,74.45542155343541,34.41718533064023,43.51619749908568,7.630231378729624
22,21.328515615232423,1420.6224168120166,7.885473926502553,12.85721698568261,1.2424827829115397,73.45799404423862,75.95657383406193,78.68766092336953,47.842294211656984,40.49793676070758,19.42311797713948
23,17.430808948311576,1497.1947401033829,10.371352287906772,9.121106348874253,24.845701197835147,57.2553043100812,64.51022628946505,63.309546861546416,17.258655919651012,36.19948749051553,13.61662219927192
24,28.290377142837674,1273.1738010822144,9.416627443959309,9.694196986854168,0.0,62.42953449528991,74.27776930630424,76.3905455695441,16.850077937911703,45.08133208954934,18.466001891703446
25,21.759256761951505,1144.3487505077276,9.192243921243348,13.376326268904638,4.026784069157382,55.66977772774313,66.88543064619273,73.35676136815124,24.682657428065255,40.90846452264896,18.37456718516066
