,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,64.7,24.4,8.3,1.9,0.8
q2_origen,20.2,41.4,21.3,11.4,5.7
q3_origen,7.6,21.6,30.6,32.4,7.9
q4_origen,2.2,13.0,23.1,33.9,27.7
q5_origen,1.2,2.8,15.5,21.3,59.2
