from,to,informalizacion,formalizacion
2015,2016,21.707450350272417,8.822596227256884
2016,2017,16.306172896496193,10.041725446903872
2017,2018,20.954708365027425,9.261528525602106
2018,2019,18.1013274489435,8.5686553650899
