sector,ratio,share_fem,n
Otros servicios,0.7406019681310989,54.70292179215257,9886
Transporte y comunic.,0.745207529791031,46.30293936058073,2868
"Agro, pesca y mineria",0.7699980693738335,25.762478993635273,4952
Manufactura,0.7956743543415878,33.284756903894596,2064
Comercio,0.868387262455059,46.70030967858778,2990
Construccion,1.1409813407049068,6.095002182357348,2387
