year,Costa,Sierra,Selva,Nacional
2004,5.876140105599415,20.247261491644274,10.583710119699477,11.039127122191395
2005,5.558422882468765,19.921601338326234,10.706284701409622,10.76286645567905
2006,5.483652772025058,18.27326171280055,10.968589690266018,10.20951451252327
2007,5.194703038238084,16.613017995863007,10.739556208550177,9.45759751550868
2008,5.088239935613725,16.727951685438075,9.858895005539821,9.373890034732868
2009,4.700446719820223,16.051147987521492,9.36953704059361,8.872026518937718
2010,4.852971022858256,15.920010227237702,8.480990593602913,8.802118245159567
2011,4.687511113169266,15.602721771298055,9.109381328449167,8.685216165772957
2012,3.784947075976201,14.183147254729578,8.691367113780416,7.7068126812122175
2013,3.8689618885253028,14.370997966206392,9.058830583169732,7.822658471824612
2014,4.065993181663477,14.662501251345192,9.124914188655321,8.029735877375039
2015,3.710045607960736,14.245439351048992,8.62989230333494,7.623472688485849
2016,3.6814672101452595,13.733747571869994,9.21038971722419,7.489543015202931
2017,3.647676617425503,13.766986073592744,9.124781520719026,7.444661680280835
2018,3.564767584020159,13.437823763835748,9.283209512640607,7.3047599182814835
2019,3.548383247620701,13.639573112988721,8.70884999593655,7.289858863285131
2020,2.0336941261852237,6.784651971603492,4.711771688786585,3.8172101528943028
2021,3.4089055883286665,12.053688020872524,8.490023636782865,6.638983296844028
2022,3.3921280943050913,12.50873098873402,8.20303608301886,6.77618085970524
2023,3.2656157536257058,11.691284037487659,7.321193371763594,6.342925484952051
2024,3.159490490757004,12.009968301826234,7.09541164481944,6.332551947412765
2025,3.0695851905457943,12.68425413955126,7.595084201941021,6.536203714383677
