year,Asalariado (empleado+obrero),Independiente,Trab. familiar no remunerado,Empleador,Trabajador del hogar,vulnerable
2004,37.552126820472495,34.87627148958701,18.252114792452353,5.27682088055705,3.687876569966358,53.128386282039365
2005,38.62620791539182,35.02530985188721,16.920422229105384,5.416940295005377,3.655609667654261,51.94573208099259
2006,39.880802693776225,33.90058988860028,16.58178932904805,5.379326962562854,3.904279226405073,50.48237921764833
2007,41.53437857263903,34.55669240827689,14.069596981382853,5.724116080057893,3.7324982189640212,48.626289389659746
2008,42.64297522239039,34.77035532971938,13.21994649277222,5.503633831340732,3.460115704262872,47.9903018224916
2009,43.16137531369795,34.420650903916986,13.120426298454579,5.500245880368038,3.3690409733498545,47.54107720237157
2010,43.39946255109546,34.8202202886188,12.396715534816618,5.774310568905077,3.263114704023172,47.21693582343541
2011,44.1754243761008,34.85672066644195,12.551189168489438,5.256811619203982,2.8201199573832065,47.40790983493139
2012,45.91551984654398,34.301908271767296,11.453386933574862,5.350417297875228,2.693673781528818,45.75529520534216
2013,46.88401786692134,34.10732765444233,11.251859019891507,4.82631480799972,2.6666304392202447,45.359186674333834
2014,47.16058755797864,34.85354117851067,11.011520973631047,4.407880860839442,2.3253434316753925,45.86506215214171
2015,47.429347191226725,34.78497455963673,10.955872442059206,4.12297948004459,2.5192363093462116,45.74084700169594
2016,47.023550932976306,35.62835933243731,10.422828888580188,4.290378473874231,2.448041947553824,46.051188221017505
2017,46.62468570096808,36.73400000010181,10.044645429562149,3.9336624534555575,2.4433151432767697,46.77864542966395
2018,46.57158546879913,37.23716223842054,9.733489759122643,4.001676602816158,2.299385412561187,46.97065199754318
2019,46.49999314148346,36.835974037262616,10.079791968251893,3.931319506158922,2.4673721277221365,46.915766005514506
2020,43.85067048523402,38.059600815314795,13.333147758855976,2.7993604302842163,1.6810134778537427,51.39274857417077
2021,45.50105163358524,38.03606687864773,10.943413143846072,3.2507050075630968,2.012587088564053,48.97948002249381
2022,47.38646393374355,37.46765133768322,9.297299478560154,3.321065099967995,2.3069230596329584,46.76495081624338
2023,48.43179115877811,37.46574498010259,8.247667055143749,3.4531157063282754,2.1637129290819344,45.71341203524634
2024,49.6259504391846,37.32871373527827,7.264674986319489,3.3857851890929846,2.2407574214051853,44.593388721597755
2025,50.38552690102344,36.56872030372268,7.721715640376331,3.0800240449426743,2.0858720149650978,44.290435944099
