ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
200708,6.49,9.66,12.92,6.11,6.52,881.47,1746.99,2300.74,4047.74
200709,6.86,9.75,14.2,6.09,6.25,887.57,1732.66,2284.41,4017.07
200710,6.49,9.71,14.31,5.97,5.53,891.23,1764.23,2242.97,4007.21
200711,6.76,9.38,13.7,5.93,6.42,909.94,1780.26,2190.94,3971.21
200712,6.44,8.7,12.97,5.4,6.3,915.58,1838.42,2183.99,4022.42
200801,6.69,9.84,14.48,5.64,6.68,938.18,1806.67,2189.99,3996.66
200802,7.08,11.29,16.61,6.24,6.47,954.42,1877.3,2134.77,4012.07
200803,7.14,11.93,17.19,6.48,6.72,992.11,1885.0,2154.03,4039.03
200804,7.1,11.31,16.13,6.57,6.54,1006.51,1944.66,2123.51,4068.16
200805,6.43,10.13,13.85,6.36,5.88,1002.96,1915.55,2184.04,4099.59
200806,6.14,10.06,13.76,6.22,5.54,1000.61,1966.38,2131.42,4097.8
200807,6.33,10.29,14.76,6.05,5.76,1010.54,1933.69,2169.49,4103.18
200808,6.53,10.65,16.47,5.71,5.75,1014.17,1864.47,2211.57,4076.04
200809,6.33,11.24,16.65,5.82,5.82,1002.93,1811.35,2213.06,4024.41
200810,5.83,10.52,15.7,5.54,4.78,997.2,1864.49,2163.68,4028.17
200811,6.0,9.72,14.92,5.76,4.23,1015.04,1989.02,2061.49,4050.51
200812,6.32,9.61,15.69,5.77,4.03,1028.19,1997.7,2015.11,4012.82
200901,7.46,10.48,17.67,6.62,4.39,1047.25,1955.83,2011.91,3967.73
200902,7.75,11.21,19.0,6.44,5.32,1070.34,1973.16,2009.54,3982.7
200903,7.82,11.11,18.21,6.92,5.09,1060.62,2013.18,2037.29,4050.46
200904,6.89,11.0,17.57,6.36,5.05,1051.33,2041.75,2087.35,4129.1
200905,6.23,11.08,16.63,6.56,4.48,1050.1,2025.88,2112.18,4138.06
200906,6.41,10.99,17.35,6.38,4.41,1056.01,2060.0,2060.9,4120.9
200907,6.22,10.58,15.94,6.21,5.01,1060.2,2113.8,1989.4,4103.2
200908,6.84,10.07,16.17,5.96,5.72,1073.93,2126.5,1960.0,4086.5
200909,6.44,9.52,14.88,5.57,5.87,1114.01,2031.1,2066.1,4097.2
200910,6.39,9.13,14.67,5.44,5.54,1113.56,2167.2,1978.5,4145.7
200911,5.69,9.07,14.97,5.07,4.32,1102.71,2227.0,1988.4,4215.4
200912,6.26,9.86,16.29,5.51,4.57,1101.23,2262.2,2022.2,4284.4
201001,6.92,10.63,17.67,5.97,4.62,1120.72,2256.6,2051.0,4307.6
201002,7.97,11.53,18.09,6.95,5.53,1115.51,2263.7,2063.9,4327.6
