from,to,informalizacion,formalizacion
2007,2008,18.322089916552898,8.678969663949779
2008,2009,24.933680241186178,6.9897411415801
2009,2010,23.675891976704783,5.339059852616506
2010,2011,20.161004118138397,7.019037588662989
