,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,57.0,23.4,14.0,3.7,1.9
q2_origen,27.5,31.3,24.7,14.9,1.7
q3_origen,9.1,30.7,30.6,21.4,8.2
q4_origen,6.6,10.8,24.2,34.0,24.3
q5_origen,1.0,4.4,14.7,27.8,52.1
