from,to,entry_rate,exit_rate
2013,2014,9.973406924135666,44.18776465986196
2014,2015,8.743329788472225,41.46378653445508
2015,2016,6.168018144067219,45.0325885664547
2016,2017,9.917372355104341,37.693032738747334
