year,indicator,value,grupo
2009,analfabetismo_15,8.872026518937718,03 Educacion
2009,pct_lengua_indigena,17.336615765060934,03 Educacion
2009,pct_algun_seguro,60.252877561949894,04 Salud
2009,pct_sis,33.86349775999892,04 Salud
2009,pct_agricola,26.878788049611934,05 Empleo
2009,pct_independiente,34.420650903916986,05 Empleo
2009,pct_asalariado,43.16137531369795,05 Empleo
2009,pct_empleo_vulnerable,47.54107720237157,05 Empleo
2009,confianza_inst,26.355803309358677,85 Gobernabilidad
2010,pobreza,30.773238379376483,34 Pobreza
2010,pobreza_extrema,7.631952220419374,34 Pobreza
2010,tam_hogar,4.02215217697691,34 Pobreza
2010,agua_red_dentro,53.12196769610136,01 Vivienda
2010,electricidad,68.89968991794039,01 Vivienda
2010,cocina_gas,54.379745354763585,01 Vivienda
2010,celular,57.12011882034991,01 Vivienda
2010,pct_60mas,11.239428104422265,02 Demografia
2010,pct_0a14,26.79151420591567,02 Demografia
2010,edad_mediana,27.0,02 Demografia
2010,pct_jefa_mujer,24.97277017915475,02 Demografia
2010,educ_anios_25,9.007094428866706,03 Educacion
2010,pct_superior_25,27.934186813040174,03 Educacion
2010,analfabetismo_15,8.802118245159567,03 Educacion
2010,pct_lengua_indigena,17.15983247105877,03 Educacion
2010,pct_algun_seguro,63.20591959161238,04 Salud
2010,pct_sis,36.45051620500645,04 Salud
2010,pct_agricola,25.60050721833892,05 Empleo
2010,pct_independiente,34.8202202886188,05 Empleo
2010,pct_asalariado,43.39946255109546,05 Empleo
2010,pct_empleo_vulnerable,47.21693582343541,05 Empleo
2010,confianza_inst,25.18394864408609,85 Gobernabilidad
2011,pobreza,27.824289385184848,34 Pobreza
2011,pobreza_extrema,6.3422835125914165,34 Pobreza
2011,tam_hogar,3.9777210073633027,34 Pobreza
2011,agua_red_dentro,52.09152675704548,01 Vivienda
2011,electricidad,68.11940042638201,01 Vivienda
2011,cocina_gas,53.97042141267811,01 Vivienda
2011,celular,57.13956998955545,01 Vivienda
2011,pct_60mas,12.38537869209897,02 Demografia
2011,pct_0a14,26.399773448436008,02 Demografia
2011,edad_mediana,27.0,02 Demografia
2011,pct_jefa_mujer,25.384173326241154,02 Demografia
2011,educ_anios_25,8.994076903266391,03 Educacion
2011,pct_superior_25,27.97465342080218,03 Educacion
2011,analfabetismo_15,8.685216165772957,03 Educacion
2011,pct_lengua_indigena,17.388246115062923,03 Educacion
2011,pct_algun_seguro,64.22613460483382,04 Salud
2011,pct_sis,36.180310546588714,04 Salud
2011,pct_agricola,25.734333274311677,05 Empleo
2011,pct_independiente,34.85672066644195,05 Empleo
2011,pct_asalariado,44.1754243761008,05 Empleo
2011,pct_empleo_vulnerable,47.40790983493139,05 Empleo
2011,confianza_inst,26.87662938131139,85 Gobernabilidad
2012,pobreza,25.81078246024325,34 Pobreza
2012,pobreza_extrema,6.008508395604295,34 Pobreza
2012,tam_hogar,3.9077585344143455,34 Pobreza
2012,agua_red_dentro,56.839217914528774,01 Vivienda
2012,electricidad,69.07192517791455,01 Vivienda
2012,cocina_gas,54.98748399307314,01 Vivienda
2012,celular,60.45879376066621,01 Vivienda
2012,pct_60mas,12.904305989325938,02 Demografia
2012,pct_0a14,25.561063731460564,02 Demografia
2012,edad_mediana,28.0,02 Demografia
2012,pct_jefa_mujer,25.819718516663386,02 Demografia
2012,educ_anios_25,9.188278528048622,03 Educacion
2012,pct_superior_25,28.778698701259675,03 Educacion
2012,analfabetismo_15,7.7068126812122175,03 Educacion
2012,pct_lengua_indigena,17.292906703103743,03 Educacion
2012,pct_algun_seguro,61.750372125088504,04 Salud
2012,pct_sis,31.4855020397712,04 Salud
2012,pct_agricola,24.579590373777958,05 Empleo
2012,pct_independiente,34.301908271767296,05 Empleo
2012,pct_asalariado,45.91551984654398,05 Empleo
2012,pct_empleo_vulnerable,45.75529520534216,05 Empleo
2012,confianza_inst,,85 Gobernabilidad
2013,pobreza,23.911744656437936,34 Pobreza
2013,pobreza_extrema,4.7282388366421655,34 Pobreza
2013,tam_hogar,3.8742754220929614,34 Pobreza
2013,agua_red_dentro,58.51143691455572,01 Vivienda
2013,electricidad,70.69087453948192,01 Vivienda
2013,cocina_gas,57.81335924649128,01 Vivienda
2013,celular,62.94768776226638,01 Vivienda
2013,pct_60mas,13.297701568937367,02 Demografia
2013,pct_0a14,25.16629862093292,02 Demografia
2013,edad_mediana,29.0,02 Demografia
2013,pct_jefa_mujer,26.466911054599574,02 Demografia
2013,educ_anios_25,9.147722405518458,03 Educacion
2013,pct_superior_25,28.148219828105308,03 Educacion
2013,analfabetismo_15,7.822658471824612,03 Educacion
2013,pct_lengua_indigena,16.97095231364621,03 Educacion
2013,pct_algun_seguro,65.34163352817973,04 Salud
2013,pct_sis,35.39573884080189,04 Salud
2013,pct_agricola,24.465217480809205,05 Empleo
2013,pct_independiente,34.10732765444233,05 Empleo
2013,pct_asalariado,46.88401786692134,05 Empleo
2013,pct_empleo_vulnerable,45.359186674333834,05 Empleo
2013,confianza_inst,,85 Gobernabilidad
2014,pobreza,22.727381405582786,34 Pobreza
2014,pobreza_extrema,4.283020322793676,34 Pobreza
2014,tam_hogar,3.8090309655661923,34 Pobreza
2014,agua_red_dentro,60.97312945291659,01 Vivienda
2014,electricidad,71.43175971610431,01 Vivienda
2014,cocina_gas,60.39592523780425,01 Vivienda
2014,celular,65.2859967853754,01 Vivienda
2014,pct_60mas,13.622358987972794,02 Demografia
2014,pct_0a14,24.673833811257083,02 Demografia
2014,edad_mediana,29.0,02 Demografia
2014,pct_jefa_mujer,27.614197275471884,02 Demografia
2014,educ_anios_25,9.12575523244542,03 Educacion
2014,pct_superior_25,27.282026565549273,03 Educacion
2014,analfabetismo_15,8.029735877375039,03 Educacion
2014,pct_lengua_indigena,17.073599394623308,03 Educacion
2014,pct_algun_seguro,68.89619550645092,04 Salud
2014,pct_sis,39.07350353898944,04 Salud
2014,pct_agricola,24.72306477888395,05 Empleo
2014,pct_independiente,34.85354117851067,05 Empleo
2014,pct_asalariado,47.16058755797864,05 Empleo
2014,pct_empleo_vulnerable,45.86506215214171,05 Empleo
2014,confianza_inst,22.129898814151737,85 Gobernabilidad
2015,pobreza,21.7716480964222,34 Pobreza
2015,pobreza_extrema,4.065186610636811,34 Pobreza
2015,tam_hogar,3.720199231725067,34 Pobreza
2015,agua_red_dentro,63.31633630673844,01 Vivienda
2015,electricidad,74.71046629599428,01 Vivienda
2015,cocina_gas,65.01997750222017,01 Vivienda
2015,celular,69.43253640596696,01 Vivienda
2015,pct_60mas,13.291667064530676,02 Demografia
2015,pct_0a14,25.21784251887704,02 Demografia
2015,edad_mediana,29.0,02 Demografia
2015,pct_jefa_mujer,27.995128424945147,02 Demografia
2015,educ_anios_25,9.226035117826028,03 Educacion
2015,pct_superior_25,27.125558374796356,03 Educacion
2015,analfabetismo_15,7.623472688485849,03 Educacion
2015,pct_lengua_indigena,17.071111471423773,03 Educacion
2015,pct_algun_seguro,72.79042049054927,04 Salud
2015,pct_sis,43.4685122683917,04 Salud
2015,pct_agricola,25.494802729850658,05 Empleo
2015,pct_independiente,34.78497455963673,05 Empleo
2015,pct_asalariado,47.429347191226725,05 Empleo
2015,pct_empleo_vulnerable,45.74084700169594,05 Empleo
2015,confianza_inst,22.595694672511545,85 Gobernabilidad
2016,pobreza,20.742382514067643,34 Pobreza
2016,pobreza_extrema,3.766326027656456,34 Pobreza
2016,tam_hogar,3.701407100143411,34 Pobreza
2016,agua_red_dentro,65.60987301270816,01 Vivienda
2016,electricidad,75.3071145104834,01 Vivienda
2016,cocina_gas,66.90213255339394,01 Vivienda
2016,celular,71.1355004146195,01 Vivienda
2016,pct_60mas,13.421938709254563,02 Demografia
2016,pct_0a14,25.305002696342243,02 Demografia
2016,edad_mediana,29.0,02 Demografia
2016,pct_jefa_mujer,28.241245397680174,02 Demografia
2016,educ_anios_25,9.262677860296803,03 Educacion
2016,pct_superior_25,28.21255226397172,03 Educacion
2016,analfabetismo_15,7.489543015202931,03 Educacion
2016,pct_lengua_indigena,17.172580930516478,03 Educacion
2016,pct_algun_seguro,75.59609958753333,04 Salud
2016,pct_sis,46.38428336660441,04 Salud
2016,pct_agricola,25.196419141129745,05 Empleo
2016,pct_independiente,35.62835933243731,05 Empleo
2016,pct_asalariado,47.023550932976306,05 Empleo
2016,pct_empleo_vulnerable,46.051188221017505,05 Empleo
2016,confianza_inst,21.62156426303146,85 Gobernabilidad
2017,pobreza,21.69998708820261,34 Pobreza
2017,pobreza_extrema,3.7862812462541235,34 Pobreza
2017,tam_hogar,3.645910619523636,34 Pobreza
2017,agua_red_dentro,63.92484478018877,01 Vivienda
2017,electricidad,74.66903824117054,01 Vivienda
2017,cocina_gas,66.58461500113647,01 Vivienda
2017,celular,70.99308714677396,01 Vivienda
2017,pct_60mas,13.960211170222728,02 Demografia
2017,pct_0a14,25.07478871805329,02 Demografia
2017,edad_mediana,30.0,02 Demografia
2017,pct_jefa_mujer,29.50616726092255,02 Demografia
2017,educ_anios_25,9.307821933237696,03 Educacion
2017,pct_superior_25,28.23368060998365,03 Educacion
2017,analfabetismo_15,7.444661680280835,03 Educacion
2017,pct_lengua_indigena,17.422527233743285,03 Educacion
2017,pct_algun_seguro,76.34885114557517,04 Salud
2017,pct_sis,46.92831410183531,04 Salud
2017,pct_agricola,24.614113240323285,05 Empleo
2017,pct_independiente,36.73400000010181,05 Empleo
2017,pct_asalariado,46.62468570096808,05 Empleo
2017,pct_empleo_vulnerable,46.77864542966395,05 Empleo
2017,confianza_inst,19.48615508056967,85 Gobernabilidad
2018,pobreza,20.48797260811494,34 Pobreza
2018,pobreza_extrema,2.8057005662125123,34 Pobreza
2018,tam_hogar,3.5941638221299437,34 Pobreza
2018,agua_red_dentro,65.49858229719571,01 Vivienda
2018,electricidad,74.701689208469,01 Vivienda
2018,cocina_gas,66.68920150060437,01 Vivienda
2018,celular,71.3447482800505,01 Vivienda
2018,pct_60mas,14.826675443443838,02 Demografia
2018,pct_0a14,24.77884196958077,02 Demografia
2018,edad_mediana,31.0,02 Demografia
2018,pct_jefa_mujer,30.2890975210116,02 Demografia
2018,educ_anios_25,9.382059636951631,03 Educacion
2018,pct_superior_25,28.628749542732145,03 Educacion
2018,analfabetismo_15,7.3047599182814835,03 Educacion
2018,pct_lengua_indigena,17.127070830082754,03 Educacion
2018,pct_algun_seguro,76.41985338665852,04 Salud
2018,pct_sis,47.23592940336715,04 Salud
2018,pct_agricola,24.68036462845324,05 Empleo
2018,pct_independiente,37.23716223842054,05 Empleo
2018,pct_asalariado,46.57158546879913,05 Empleo
2018,pct_empleo_vulnerable,46.97065199754318,05 Empleo
2018,confianza_inst,17.146178952762632,85 Gobernabilidad
2019,pobreza,20.1933799269188,34 Pobreza
2019,pobreza_extrema,2.8548849422490914,34 Pobreza
2019,tam_hogar,3.5597224610336107,34 Pobreza
2019,agua_red_dentro,65.16144433355022,01 Vivienda
2019,electricidad,74.4595976393186,01 Vivienda
2019,cocina_gas,67.41053346786848,01 Vivienda
2019,celular,71.74139325878642,01 Vivienda
2019,pct_60mas,15.381983269890439,02 Demografia
2019,pct_0a14,24.487519677643036,02 Demografia
2019,edad_mediana,31.0,02 Demografia
2019,pct_jefa_mujer,31.162184846569808,02 Demografia
2019,educ_anios_25,9.489484298984962,03 Educacion
2019,pct_superior_25,29.81916897430046,03 Educacion
2019,analfabetismo_15,7.289858863285131,03 Educacion
2019,pct_lengua_indigena,16.71462050104438,03 Educacion
2019,pct_algun_seguro,77.60528587356808,04 Salud
2019,pct_sis,47.84090997851823,04 Salud
2019,pct_agricola,24.186261944671337,05 Empleo
2019,pct_independiente,36.835974037262616,05 Empleo
2019,pct_asalariado,46.49999314148346,05 Empleo
2019,pct_empleo_vulnerable,46.915766005514506,05 Empleo
2019,confianza_inst,17.921567705412837,85 Gobernabilidad
2020,pobreza,30.133153077386137,34 Pobreza
2020,pobreza_extrema,5.147568016602769,34 Pobreza
2020,tam_hogar,3.5095505158741758,34 Pobreza
2020,agua_red_dentro,53.00044941719527,01 Vivienda
2020,electricidad,61.29273491679198,01 Vivienda
2020,cocina_gas,54.648661476782934,01 Vivienda
2020,celular,60.50762437843935,01 Vivienda
2020,pct_60mas,14.410582878462513,02 Demografia
2020,pct_0a14,24.535142590065483,02 Demografia
2020,edad_mediana,31.0,02 Demografia
2020,pct_jefa_mujer,31.820021118640128,02 Demografia
2020,educ_anios_25,9.464690774736301,03 Educacion
2020,pct_superior_25,27.982303782119576,03 Educacion
2020,analfabetismo_15,3.8172101528943028,03 Educacion
2020,pct_lengua_indigena,16.773265101882227,03 Educacion
2020,pct_algun_seguro,77.11719829296179,04 Salud
2020,pct_sis,51.4635817365208,04 Salud
