anio,origen,destino,personas,n
2018,Cusco,La Libertad,475,1
2018,Ayacucho,Ica,470,3
2018,Arequipa,Apurimac,468,3
2018,Puno,Ayacucho,468,3
2018,Arequipa,Madre de Dios,463,11
2018,La Libertad,Cusco,461,2
2018,Loreto,Madre de Dios,452,7
2018,Junin,Ucayali,451,8
2018,Ayacucho,Apurimac,446,2
2018,Cajamarca,Junin,424,3
2018,Huanuco,Loreto,424,2
2018,Cajamarca,Ica,421,2
2018,Cusco,Loreto,408,2
2018,Ica,Pasco,407,2
2018,Ica,Amazonas,403,5
2018,Ancash,Pasco,396,5
2018,Apurimac,Arequipa,394,2
2018,Pasco,Ucayali,394,6
2018,La Libertad,Ucayali,392,2
2018,Ica,Arequipa,388,4
2018,Junin,Ayacucho,388,2
2018,Ica,Ucayali,386,2
2018,La Libertad,Ayacucho,382,3
2018,Tacna,Apurimac,378,2
2018,Amazonas,Arequipa,358,2
2018,Ica,Loreto,349,2
2018,San Martin,Cusco,337,1
2018,Arequipa,Ancash,332,1
2018,Piura,Arequipa,329,3
2018,Arequipa,Lambayeque,327,2
2018,Ancash,Cajamarca,325,1
2018,Ucayali,Tacna,312,2
2018,Tumbes,Lambayeque,307,1
2018,Lambayeque,Ica,304,2
2018,Junin,Madre de Dios,299,7
2018,San Martin,Ancash,297,2
2018,San Martin,Piura,287,1
2018,Cusco,Ucayali,285,3
2018,Amazonas,Ancash,280,2
2018,Amazonas,Loreto,279,2
2018,Apurimac,Ica,269,2
2018,Ancash,Piura,267,1
2018,Arequipa,Ucayali,243,3
2018,Ica,Madre de Dios,243,5
2018,Ucayali,Cusco,240,1
2018,Puno,Huancavelica,239,2
2018,Moquegua,Huanuco,237,1
2018,Pasco,Loreto,237,3
2018,Ayacucho,Piura,231,1
2018,Cajamarca,Ancash,224,2
2018,Cusco,Moquegua,224,3
2018,Loreto,Arequipa,216,4
2018,Puno,Apurimac,216,2
2018,San Martin,Ica,210,1
2018,Huancavelica,Cusco,186,1
2018,Ica,San Martin,185,3
2018,Piura,Ancash,185,1
2018,Ucayali,La Libertad,184,1
2018,Lambayeque,Junin,183,1
2018,Tacna,Arequipa,179,1
2018,Piura,Ucayali,176,1
2018,Amazonas,Ucayali,175,1
2018,Ica,Puno,162,1
2018,Junin,La Libertad,154,1
2018,La Libertad,Tumbes,151,2
2018,Loreto,Apurimac,151,1
2018,Tumbes,Piura,141,1
2018,San Martin,Madre de Dios,139,6
2018,Apurimac,Moquegua,135,2
2018,Ica,Moquegua,134,4
2018,Pasco,Lambayeque,133,1
2018,Cajamarca,Madre de Dios,127,2
2018,San Martin,Moquegua,127,2
2018,Pasco,Ayacucho,126,1
2018,Arequipa,San Martin,120,1
2018,Loreto,Tacna,118,3
2018,Ica,Ancash,112,1
2018,Lambayeque,Tumbes,112,2
2018,Tumbes,Arequipa,112,1
2018,Junin,Apurimac,110,1
2018,Lambayeque,Ancash,109,1
2018,Ucayali,Arequipa,105,1
2018,Lambayeque,Ucayali,101,1
2018,Apurimac,Madre de Dios,96,5
2018,Loreto,Ayacucho,92,1
2018,Amazonas,Madre de Dios,90,1
2018,La Libertad,Madre de Dios,90,1
2018,Loreto,Pasco,88,3
2018,Piura,Amazonas,88,1
2018,Loreto,Tumbes,86,1
2018,Ica,Junin,81,1
2018,Cajamarca,Ucayali,78,1
2018,Junin,Moquegua,78,1
2018,Loreto,Moquegua,77,1
2018,Tacna,Madre de Dios,77,3
2018,Amazonas,Pasco,75,2
2018,Cajamarca,Tumbes,75,1
2018,La Libertad,Moquegua,75,1
2018,Lambayeque,Huanuco,74,3
2018,Amazonas,Tumbes,67,1
2018,Puno,Piura,63,1
2018,Loreto,Amazonas,62,1
2018,Tumbes,Moquegua,60,1
2018,Arequipa,Amazonas,59,1
2018,Ucayali,Amazonas,59,1
2018,Apurimac,Tacna,57,2
2018,Junin,Tacna,53,1
2018,Ancash,Tumbes,51,1
2018,Lambayeque,Arequipa,47,1
2018,La Libertad,Pasco,46,1
2018,Ucayali,Pasco,42,1
2018,Cajamarca,Tacna,40,1
2018,Huanuco,Tacna,40,1
2018,Apurimac,Pasco,38,1
2018,Ancash,Ucayali,37,1
2018,Cajamarca,Arequipa,37,1
2018,Ancash,Madre de Dios,23,1
2018,Ayacucho,Madre de Dios,23,1
2018,Ayacucho,La Libertad,22,1
2018,Huanuco,Madre de Dios,22,2
2018,La Libertad,Tacna,16,1
2018,Lambayeque,Tacna,16,1
2018,Tacna,Ica,9,1
2018,Moquegua,Madre de Dios,6,1
