from,to,gana_sis,pierde_sis
2015,2016,15.813526784586859,16.535862934187914
2016,2017,13.461727025452072,13.442599056418917
2017,2018,11.422518151025974,14.295485594269433
2018,2019,12.260759680003575,12.770042898853283
