dep,Ingreso real pc,Educacion (anios),Afiliado SIS,Agua dentro,Cocina a gas,Confianza inst.,Adultos 60+,Independiente,Empleo agricola,Informalidad,Lengua indigena,Analfabetismo,Pobreza
01,1268.345539281035,7.955454203836729,85.92917455715285,67.3503430238446,62.77408796784695,16.955475449552964,16.585700637599814,39.22317183305922,49.76392991883006,89.24659327082769,1.7114024716441942,13.692022642822064,20.391012381739827
02,1361.3872030837415,8.769436842395447,74.29573152148966,67.82506213074616,60.855133387703454,12.338112785171743,18.112935985467622,38.08385800203652,34.50865017157203,76.6723317011926,28.735016034982465,14.20059272276894,22.92518939770439
03,1200.8358432302884,7.130708818852835,82.83410389902052,77.0290195539386,69.94117550537689,11.345528222690248,21.744567987107615,43.19894381884957,55.23651825144964,87.4607185047675,63.21410971167979,20.268862780918024,20.895744442449278
04,1897.1042401254356,11.17230652326576,51.213773104188185,58.850437829071865,70.58381303169632,14.630413373804728,16.76311566785288,30.934275084981216,11.533011620109551,63.31753308385297,21.65384165171541,7.075983474529249,12.815670482292544
05,1079.865186829813,7.590658205373198,84.26403217028718,58.50191532596871,56.11046396938214,9.69159461710616,19.180433429079997,40.94300507930797,46.18805755097886,84.91534083328574,59.896223691058616,17.979968034923125,33.6777250575885
06,1026.188311514835,6.934784479758137,83.28250047088885,67.27871571037878,58.28365605793336,14.866625685283111,19.237501955195363,45.73532875343864,51.02409588952512,86.72460858280019,0.1278512901090569,16.692560439161216,41.03625918198515
07,1378.1756074425152,11.114682364753923,53.68087574330972,71.52679810138254,76.17151936680001,14.96063272064488,16.932547805529875,29.16621901194828,0.8950363725813,56.37699339368751,5.293512635025991,7.09370002715191,32.149712087782866
08,1160.8014509931124,8.307698917844222,74.87744660899163,60.010280271641015,64.79349092605793,12.514956924504911,20.969506720238957,43.31659557290416,39.505967246921166,80.45209261187047,59.63400538947948,16.072222539735318,18.776475813423183
09,927.8495220020244,6.9388148428480685,87.71271148121936,64.72142734017936,60.82414667324352,8.60654799606352,19.554617272766215,44.11471882399695,59.97437924977714,88.95577956294007,62.75508892742218,21.342109147458878,34.28106964920182
10,1018.8875998331378,6.350035926436921,86.50954878169297,52.213799102825874,51.18930359350779,10.136164413136752,16.98133772723008,44.17112118713831,53.61610247660427,86.93095102268558,33.07793882188822,23.24197353510052,35.66297221204107
11,1678.1007949373843,11.024038207742214,50.70644572475008,72.08317595306826,81.21592530895863,14.591049083245077,15.418729453317138,31.79560659610417,20.500014956163245,60.347792760102834,5.04038205808428,9.467954652780543,4.480482459201912
12,1405.417826122001,9.52682945855266,78.36147192328578,65.92363670065367,72.87573789149901,14.36639922904057,17.72359614794709,39.31253497159312,35.54843274542439,80.16717345160139,14.071539597896626,11.625939449221278,13.461643214038189
13,1496.152808418582,9.295010025055811,65.57164479489022,71.4691956494147,71.35572499959589,13.468568904966812,17.01681085889694,35.40187119320826,24.057216610612024,69.58030210528698,0.1579659285654701,11.311564412698509,25.54214315453708
14,1358.4268550448876,9.691336407716786,70.2992034205209,77.68796672627515,76.06069916926423,19.92834189357693,19.073072270017597,36.77970434929041,23.199554455877,73.44797278566642,1.653545427317737,10.15776891691449,14.507224071653065
15,1678.4270625856316,11.31734686757629,53.827508002454536,64.57454365285056,71.28062026083217,13.60413304391979,18.948044315982536,30.03695903023786,3.2690684272042656,59.61509398544423,7.991957942287661,6.228479146485203,26.331893207970936
16,1087.133201101767,8.897783038521045,75.0793326353335,40.986799572535936,54.2824668022721,18.66666741580862,10.61541604913867,47.61126176440965,24.966980355113066,79.9818369991855,3.650365797477293,14.966062526254056,40.11232064390508
17,1514.155475394221,9.642909757091331,73.06659770261294,57.60899439726159,64.03031673417821,9.970396560748364,10.539800562972609,36.0928878659314,21.17136746482329,82.00346965679886,20.31237572618629,13.96689119260079,7.3021380791308115
18,2089.312295923868,10.65487676804107,52.5028404100649,64.95430904255622,65.23920712457003,15.011121104763484,19.403380361039048,32.770857578215576,19.47599295502306,61.316648447599285,27.26171648723348,8.080962665681495,7.818653883528021
19,1115.1326474774803,8.691313928268523,73.05071164759575,53.447431950790445,66.24716216118799,10.72046260025606,15.204114853432928,37.898414677137424,40.55062479937249,77.00731538439479,15.017702009360525,14.956366391480564,36.40479428556064
20,1267.193327943187,8.770583173482457,72.07149965494692,68.737085638653,73.10435361138966,20.33941665863245,13.851126162344638,42.19916107048677,30.344543936319933,76.20675256510602,0.0269252467472008,11.426923303864118,28.0808656744466
21,1050.3314161111666,8.39468946039214,74.45542155343541,31.495619197515374,48.77942050413491,7.630231378729624,21.737305604185913,43.51619749908568,34.41718533064023,87.64033999645088,62.19638083541204,14.01266013681212,37.46464135349944
22,1420.6224168120166,7.885473926502553,78.68766092336953,73.45799404423862,75.95657383406193,19.42311797713948,13.467358440303357,40.49793676070758,47.84229421165698,84.68146030810064,1.2424827829115397,12.85721698568261,21.328515615232423
23,1497.1947401033829,10.371352287906772,63.309546861546416,57.2553043100812,64.51022628946505,13.61662219927192,17.502617289147928,36.19948749051553,17.258655919651012,73.90795582481887,24.845701197835147,9.121106348874251,17.430808948311576
24,1273.1738010822144,9.416627443959309,76.3905455695441,62.42953449528991,74.27776930630424,18.46600189170345,12.564630606262362,45.08133208954934,16.850077937911703,79.22687415988486,0.0,9.694196986854168,28.290377142837677
25,1144.3487505077276,9.192243921243348,73.35676136815124,55.66977772774313,66.88543064619273,18.37456718516066,9.3457212881601,40.90846452264896,24.68265742806525,83.17721792438883,4.026784069157382,13.376326268904638,21.759256761951505
