from,to,entry_rate,exit_rate
2012,2013,5.444096156047347,40.19543925106433
2013,2014,8.687380180278058,36.95033391688435
2014,2015,9.544307603319158,41.013747356442686
2015,2016,5.160978456492746,50.52519230363536
