grupo,ratio,share_fem,n_m,n_h
Empleado,0.7407468742237311,52.5640071351567,6739,5636
Obrero,0.772193893223567,23.53090814495947,3114,8745
Trabajador del hogar,0.9653787452807454,96.30892186991284,865,48
