from,to,informalizacion,formalizacion
2019,2020,47.628634576396244,5.399968611203733
2020,2021,30.857949453882966,17.323379466705546
2021,2022,17.534270467512656,8.84127526417737
2022,2023,18.130325932848134,7.5608682817384505
