from,to,gana_sis,pierde_sis
2016,2017,10.535062026593769,11.292675467525413
2017,2018,9.863639758856868,13.498136408163507
2018,2019,10.788533078295975,12.988796844463144
2019,2020,15.172935267561524,10.169858992088463
